colocação,jogador,escalações,rodada,ano
18,Rodrigo Lindoso (INT),609442,32,2019
19,Thiago Neves (CRU),595614,32,2019
20,Paolo Guerrero (INT),536399,32,2019
1,Thiago Neves (CRU),1965291,33,2019
2,Wellington Paulista (FOR),1684302,33,2019
3,Carlos Sánchez (SAN),1496611,33,2019
4,Rony (ATL),1408960,33,2019
5,Everton (GRE),1240124,33,2019
6,Nikão (ATL),1181936,33,2019
7,Gabriel (FLA),1179685,33,2019
8,Jorge (SAN),1119607,33,2019
9,Orejuela (CRU),1012003,33,2019
10,Tadeu (GOI),901465,33,2019
11,Arrascaeta (FLA),827006,33,2019
12,Marinho (SAN),773180,33,2019
13,Abel Braga (CRU),747327,33,2019
14,Pedro Geromel (GRE),724759,33,2019
15,Víctor Cuesta (INT),719379,33,2019
16,Thiago Galhardo (CEA),674239,33,2019
17,Eduardo Sasha (SAN),608405,33,2019
18,Thiago Heleno (ATL),595795,33,2019
19,Fábio (CRU),586585,33,2019
20,Marcos Rocha (PAL),561956,33,2019
1,Marinho (SAN),1899503,34,2019
2,Carlos Sánchez (SAN),1787959,34,2019
3,Soteldo (SAN),1783602,34,2019
4,Víctor Cuesta (INT),1573148,34,2019
5,Jorge Sampaoli (SAN),1148756,34,2019
6,Tadeu (GOI),1112881,34,2019
7,Paolo Guerrero (INT),996260,34,2019
8,Michael (GOI),890253,34,2019
9,Everton (GRE),872181,34,2019
10,Eduardo Sasha (SAN),867092,34,2019
11,Rodrigo Lindoso (INT),774311,34,2019
12,Marcos Rocha (PAL),738482,34,2019
13,Rafael Vaz (GOI),714578,34,2019
14,Rodrigo Moledo (INT),667575,34,2019
15,Daniel Alves (SAO),654844,34,2019
16,Dudu (PAL),646560,34,2019
17,Lucas Veríssimo (SAN),642732,34,2019
18,Zé Ricardo (INT),640855,34,2019
19,Pedrinho (COR),566262,34,2019
20,William Pottker (INT),540078,34,2019
1,Bruno Henrique (FLA),1986525,35,2019
2,Arrascaeta (FLA),1721990,35,2019
3,Pedrinho (COR),1395622,35,2019
4,Víctor Cuesta (INT),1213935,35,2019
5,Gil (COR),1052904,35,2019
6,Jorge Jesus (FLA),903207,35,2019
7,Rodrigo Caio (FLA),902809,35,2019
8,Soteldo (SAN),897316,35,2019
9,Thiago Neves (CRU),854335,35,2019
10,Paolo Guerrero (INT),844097,35,2019
11,Fagner (COR),741859,35,2019
12,Carlos Sánchez (SAN),710387,35,2019
13,Orejuela (CRU),662475,35,2019
14,Everton (GRE),646450,35,2019
15,Daniel Alves (SAO),629128,35,2019
16,Gilberto (BAH),560084,35,2019
17,Everton Ribeiro (FLA),548811,35,2019
18,Filipe Luís (FLA),515422,35,2019
19,Boselli (COR),497700,35,2019
20,Diego Alves (FLA),489732,35,2019
1,Carlos Sánchez (SAN),2135572,36,2019
2,Marinho (SAN),1722203,36,2019
3,Jorge Sampaoli (SAN),1426744,36,2019
4,Arrascaeta (FLA),1293734,36,2019
5,Gabriel (FLA),1269717,36,2019
6,Victor Ferraz (SAN),1242530,36,2019
7,Pedro Geromel (GRE),1164266,36,2019
8,Everton (GRE),1115095,36,2019
9,Eduardo Sasha (SAN),983373,36,2019
10,Lucas Veríssimo (SAN),864516,36,2019
11,Bruno Henrique (FLA),772674,36,2019
12,Léo Sena (GOI),729863,36,2019
13,Rafael Vaz (GOI),697285,36,2019
14,Michael (GOI),668825,36,2019
15,Víctor Cuesta (INT),653732,36,2019
16,Tadeu (GOI),589606,36,2019
17,Gustavo Henrique (SAN),455780,36,2019
18,Thiago Galhardo (CEA),455301,36,2019
19,Gilberto  (FLU),409381,36,2019
20,Éverson (SAN),399442,36,2019
1,Arrascaeta (FLA),2076474,37,2019
2,Gabriel (FLA),1820588,37,2019
3,Everton (GRE),1785548,37,2019
4,Rodrigo Caio (FLA),1534181,37,2019
5,Pedro Geromel (GRE),1331495,37,2019
6,Jorge Jesus (FLA),1235794,37,2019
7,Rafinha (FLA),816139,37,2019
8,Diego Alves (FLA),790667,37,2019
9,Alisson (GRE),771025,37,2019
10,Filipe Luís (FLA),685051,37,2019
11,Bruno Henrique (FLA),673624,37,2019
12,Bruno Henrique (PAL),665762,37,2019
13,Marcos Rocha (PAL),651295,37,2019
14,Dudu (PAL),596711,37,2019
15,Thiago Galhardo (CEA),592443,37,2019
16,Gerson (FLA),575042,37,2019
17,Cazares (ATL),570325,37,2019
18,Bruno Cortez (GRE),421716,37,2019
19,Marinho (SAN),415940,37,2019
20,Soteldo (SAN),413706,37,2019
1,Gabriel (FLA),1860187,38,2019
2,Víctor Cuesta (INT),1521346,38,2019
3,Paolo Guerrero (INT),1177430,38,2019
4,Bruno Henrique (FLA),1122289,38,2019
5,Fagner (COR),1038671,38,2019
6,Carlos Sánchez (SAN),865004,38,2019
7,Léo Sena (GOI),835074,38,2019
8,Leandro Castan (VAS),756736,38,2019
9,Everton Ribeiro (FLA),746918,38,2019
10,Marcos Rocha (PAL),701876,38,2019
11,Michael (GOI),669297,38,2019
12,Dudu (PAL),653345,38,2019
13,Thiago Galhardo (CEA),621338,38,2019
14,Bruno Henrique (PAL),600641,38,2019
15,Yago Pikachu (VAS),598421,38,2019
16,Vanderlei Luxemburgo (VAS),587924,38,2019
17,Tadeu (GOI),584354,38,2019
18,Gil (COR),583989,38,2019
19,Guarín (VAS),557526,38,2019
20,Jorge Jesus (FLA),524641,38,2019
1,Gabriel (FLA),3327349,1,2020
2,Pedro Geromel (GRE),3127228,1,2020
3,Everton Ribeiro (FLA),2840557,1,2020
4,Vanderlei (GRE),1969166,1,2020
5,Marinho (SAN),1850604,1,2020
6,Thiago Galhardo (INT),1422202,1,2020
7,Soteldo (SAN),1308558,1,2020
8,Víctor Cuesta (INT),1304007,1,2020
9,Diego Souza (GRE),1273009,1,2020
10,Alisson (GRE),1247015,1,2020
11,Gerson (FLA),1161325,1,2020
12,Filipe Luís (FLA),957446,1,2020
13,Daniel Paulista (SPO),878319,1,2020
14,Léo Pereira (FLA),818484,1,2020
15,Rafinha (FLA),757727,1,2020
16,Bruno Henrique (FLA),707134,1,2020
17,Bruno Cortez (GRE),617198,1,2020
18,Paolo Guerrero (INT),616544,1,2020
19,Daniel Alves (SAO),597080,1,2020
20,Domènec Torrent (FLA),588360,1,2020
1,Gabriel (FLA),3269338,2,2020
2,Everton Ribeiro (FLA),2696485,2,2020
3,Rodrigo Caio (FLA),1704973,2,2020
4,Bruno Henrique (FLA),1344399,2,2020
5,Filipe Luís (FLA),1237605,2,2020
6,Domènec Torrent (FLA),1087414,2,2020
7,Thiago Galhardo (INT),1081448,2,2020
8,Aguilar (CAP),994423,2,2020
9,Víctor Cuesta (INT),986976,2,2020
10,Felipe Conceição (BGT),974846,2,2020
11,Pablo (SAO),946191,2,2020
12,Rafinha (FLA),937338,2,2020
13,Patrick de Paula (PAL),816626,2,2020
14,Gerson (FLA),808470,2,2020
15,Léo Cittadini (CAP),768257,2,2020
16,Cano (VAS),731130,2,2020
17,Santos (CAP),710984,2,2020
18,Daniel Alves (SAO),669146,2,2020
19,Aderlan (BGT),648883,2,2020
20,Saravia (INT),641373,2,2020
1,Gabriel (FLA),2320289,3,2020
2,Luiz Adriano (PAL),1889354,3,2020
3,Marcos Rocha (PAL),1868825,3,2020
4,Pedro Geromel (GRE),1740932,3,2020
5,Everton Ribeiro (FLA),1436246,3,2020
6,Carlos Sánchez (SAN),1397568,3,2020
7,Réver (ATL),1376046,3,2020
8,Viña (PAL),1308749,3,2020
9,Marrony (ATL),1222261,3,2020
10,Zé Rafael (PAL),1213619,3,2020
11,Filipe Luís (FLA),1135879,3,2020
12,Rogério Ceni (FOR),1007995,3,2020
13,Rafael (ATL),987993,3,2020
14,Bruno Henrique (FLA),970710,3,2020
15,Rodrigo Caio (FLA),920932,3,2020
16,Patrick de Paula (PAL),874299,3,2020
17,Marinho (SAN),861718,3,2020
18,Thiago Galhardo (INT),815006,3,2020
19,Vanderlei Luxemburgo (PAL),726338,3,2020
20,Domènec Torrent (FLA),623991,3,2020
1,Jô (COR),2927180,4,2020
2,Víctor Cuesta (INT),2328033,4,2020
3,Thiago Galhardo (INT),2306599,4,2020
4,Gil (COR),2044359,4,2020
5,Gabriel (FLA),1894907,4,2020
6,Luan (COR),1300668,4,2020
7,Sidcley (COR),1208456,4,2020
8,Daniel Alves (SAO),1117301,4,2020
9,Filipe Luís (FLA),1101924,4,2020
10,Everton Ribeiro (FLA),1091642,4,2020
11,Bruno Henrique (FLA),956214,4,2020
12,Marrony (ATL),950363,4,2020
13,Carlos Sánchez (SAN),897488,4,2020
14,Danilo Avelar (COR),864500,4,2020
15,Cássio (COR),826522,4,2020
16,Ney Franco (GOI),822382,4,2020
17,Hyoran (ATL),780442,4,2020
18,Soteldo (SAN),776241,4,2020
19,Marinho (SAN),695929,4,2020
20,Pablo (SAO),690908,4,2020
1,Jô (COR),2283512,5,2020
2,Gabriel (FLA),1998763,5,2020
3,Arrascaeta (FLA),1561756,5,2020
4,Gil (COR),1415389,5,2020
5,Bruno Henrique (FLA),1382062,5,2020
6,Filipe Luís (FLA),1339727,5,2020
7,Everton Ribeiro (FLA),1275299,5,2020
8,Araos (COR),1202306,5,2020
9,Léo Ortiz (BGT),1196431,5,2020
10,Thiago Galhardo (INT),1138799,5,2020
11,Felipe Conceição (BGT),1048088,5,2020
12,Cássio (COR),1020138,5,2020
13,Danilo Avelar (COR),998210,5,2020
14,Rodrigo Caio (FLA),913661,5,2020
15,Aderlan (BGT),913419,5,2020
16,Cano (VAS),904699,5,2020
17,Sidcley (COR),889891,5,2020
18,Fagner (COR),844314,5,2020
19,Alerrandro (BGT),767288,5,2020
20,Rafael Vaz (GOI),677966,5,2020
1,Thiago Galhardo (INT),2395099,6,2020
2,Cano (VAS),2105929,6,2020
3,Víctor Cuesta (INT),1979460,6,2020
4,Nenê (FLU),1599672,6,2020
5,Bruno Henrique (FLA),1403963,6,2020
6,Luiz Adriano (PAL),1085627,6,2020
7,Viña (PAL),1018642,6,2020
8,Jorginho (CFC),1008039,6,2020
9,Jô (COR),1005469,6,2020
10,Matheus Galdezani (CFC),968663,6,2020
11,Rogério Ceni (FOR),941710,6,2020
12,Luan (PAL),909410,6,2020
13,Wellington Paulista (FOR),889896,6,2020
14,Wilson (CFC),784655,6,2020
15,Patrick de Paula (PAL),767240,6,2020
16,Saravia (INT),739195,6,2020
17,Gustavo Gómez (PAL),736146,6,2020
18,Filipe Luís (FLA),729370,6,2020
19,Everton Ribeiro (FLA),727859,6,2020
20,Gil (COR),699327,6,2020
1,Pedro Geromel (GRE),2789389,7,2020
2,Nenê (FLU),2765087,7,2020
3,Diego Souza (GRE),2587267,7,2020
4,Marinho (SAN),2234823,7,2020
5,Egídio (FLU),1512215,7,2020
6,Alisson (GRE),1466156,7,2020
7,Jean Pyerre (GRE),940448,7,2020
8,Vanderlei (GRE),871156,7,2020
9,Evanilson (FLU),860419,7,2020
10,Odair Hellmann (FLU),808098,7,2020
11,João Paulo (SAN),786283,7,2020
12,Fernando Sobral (CEA),774647,7,2020
13,Soteldo (SAN),766591,7,2020
14,Carlos Sánchez (SAN),739695,7,2020
15,Calegari (FLU),739395,7,2020
16,Felipe Jonatan (SAN),733261,7,2020
17,Kannemann (GRE),729420,7,2020
18,Bruno Cortez (GRE),713642,7,2020
19,Léo Cittadini (CAP),643269,7,2020
20,Arrascaeta (FLA),637288,7,2020
1,Gabriel (FLA),3048026,8,2020
2,Thiago Galhardo (INT),2714835,8,2020
3,Víctor Cuesta (INT),1904425,8,2020
4,Everton Ribeiro (FLA),1616120,8,2020
5,Filipe Luís (FLA),1525858,8,2020
6,Luciano (SAO),1365374,8,2020
7,Jair Ventura (SPO),1365057,8,2020
8,Isla (FLA),1302839,8,2020
9,Marinho (SAN),1299417,8,2020
10,Arrascaeta (FLA),1250002,8,2020
11,Rodrigo Caio (FLA),1145796,8,2020
12,Cano (VAS),980943,8,2020
13,Jô (COR),952309,8,2020
14,Gil (COR),911601,8,2020
15,Domènec Torrent (FLA),855561,8,2020
16,Boschilia (INT),809026,8,2020
17,João Paulo (SAN),730322,8,2020
18,Soteldo (SAN),693938,8,2020
19,Léo Pereira (FLA),686349,8,2020
20,Pedro Geromel (GRE),679065,8,2020
1,Thiago Galhardo (INT),3016327,9,2020
2,Cano (VAS),2302825,9,2020
3,Víctor Cuesta (INT),2258815,9,2020
4,Luciano (SAO),1964055,9,2020
5,Everton Ribeiro (FLA),1576702,9,2020
6,Gabriel (FLA),1490293,9,2020
7,Marinho (SAN),1411767,9,2020
8,Rafael Vaz (GOI),1283350,9,2020
9,Miranda (VAS),1256177,9,2020
10,Reinaldo (SAO),1235639,9,2020
11,Wellington Paulista (FOR),1235336,9,2020
12,Thiago Larghi (GOI),1205461,9,2020
13,Yago Pikachu (VAS),1184455,9,2020
14,Arrascaeta (FLA),1087675,9,2020
15,Rogério Ceni (FOR),1019057,9,2020
16,Benítez (VAS),971335,9,2020
17,Fellipe Bastos (VAS),833338,9,2020
18,Filipe Luís (FLA),782538,9,2020
19,Marcelo Lomba (INT),741173,9,2020
20,Talles Magno (VAS),668634,9,2020
1,Marinho (SAN),2333734,10,2020
2,Eduardo Sasha (ATL),2237601,10,2020
3,Rodriguinho (BAH),2232330,10,2020
4,Júnior Alonso (ATL),1488941,10,2020
5,Franco (ATL),1424003,10,2020
6,Gilberto (BAH),1183617,10,2020
7,João Paulo (SAN),1175359,10,2020
8,Viña (PAL),1154757,10,2020
9,Gabriel (FLA),1091036,10,2020
10,Gustavo Gómez (PAL),1089854,10,2020
11,Guilherme Arana (ATL),1068945,10,2020
12,Cano (VAS),1036712,10,2020
13,Luan (PAL),970027,10,2020
14,Nino Paraíba (BAH),941148,10,2020
15,Patrick de Paula (PAL),909949,10,2020
16,Nenê (FLU),908147,10,2020
17,Otero (COR),875265,10,2020
18,Víctor Cuesta (INT),833551,10,2020
19,Zé Rafael (PAL),822252,10,2020
20,Jorge Sampaoli (ATL),798312,10,2020
