colocação,jogador,escalações,rodada,ano
10,Gabriel (FLA),1281494,7,2019
11,Dudu (PAL),1093124,7,2019
12,Odair Hellmann (INT),1049750,7,2019
13,Chará (ATL),1018740,7,2019
14,Everton Ribeiro (FLA),1017652,7,2019
15,Igor Rabello (ATL),913992,7,2019
16,Léo Duarte (FLA),894629,7,2019
17,Arrascaeta (FLA),871069,7,2019
18,Cuéllar (FLA),867745,7,2019
19,Nico López (INT),797589,7,2019
20,Eduardo Barroca (BOT),797029,7,2019
1,Pedro Geromel (GRE),2732669,8,2019
2,Dudu (PAL),1837078,8,2019
3,Bruno Henrique (FLA),1809567,8,2019
4,Bruno Henrique (PAL),1703301,8,2019
5,Felipe Vizeu (GRE),1698428,8,2019
6,Thiago Galhardo (CEA),1341949,8,2019
7,Diogo Barbosa (PAL),1328966,8,2019
8,Paulo Victor (GRE),1290285,8,2019
9,Thiago Neves (CRU),1268308,8,2019
10,Nonato (INT),1240065,8,2019
11,Zé Rafael (PAL),1224556,8,2019
12,Rodrigo Caio (FLA),1204982,8,2019
13,Everton Ribeiro (FLA),1109901,8,2019
14,Deyverson (PAL),1023202,8,2019
15,Alexandre Pato (SAO),994259,8,2019
16,Marcos Rocha (PAL),981367,8,2019
17,Diego Alves (FLA),865950,8,2019
18,Renato Gaúcho (GRE),848715,8,2019
19,Diego (FLA),805050,8,2019
20,Dedé (CRU),783212,8,2019
1,Rodrigo Caio (FLA),2570567,9,2019
2,Dudu (PAL),2551816,9,2019
3,Bruno Henrique (FLA),1971694,9,2019
4,Everton Ribeiro (FLA),1840508,9,2019
5,Gabriel (FLA),1708913,9,2019
6,Bruno Henrique (PAL),1419135,9,2019
7,Nonato (INT),1414719,9,2019
8,Cazares (ATL),1399030,9,2019
9,Marcos Rocha (PAL),1336764,9,2019
10,Víctor Cuesta (INT),1321465,9,2019
11,César (FLA),1201214,9,2019
12,Thiago Neves (CRU),1181221,9,2019
13,Renê (FLA),1176929,9,2019
14,Diogo Barbosa (PAL),1158758,9,2019
15,Zé Rafael (PAL),1087571,9,2019
16,Edu Dracena (PAL),1072974,9,2019
17,Antônio Carlos  (PAL),1023729,9,2019
18,Deyverson (PAL),968902,9,2019
19,Luiz Felipe Scolari (PAL),847592,9,2019
20,Fernando Diniz (FLU),810390,9,2019
1,Rodrigo Caio (FLA),2489623,10,2019
2,Arrascaeta (FLA),2314494,10,2019
3,Bruno Henrique (FLA),2025645,10,2019
4,Thiago Neves (CRU),1852162,10,2019
5,Gabriel (FLA),1822943,10,2019
6,Dedé (CRU),1462615,10,2019
7,Fagner (COR),1427045,10,2019
8,Renê (FLA),1377368,10,2019
9,Cuéllar (FLA),1176105,10,2019
10,Danilo Avelar (COR),1139062,10,2019
11,Pedrinho (COR),1132158,10,2019
12,Cássio (COR),1069861,10,2019
13,Vagner Love (COR),1046049,10,2019
14,Gil (COR),1043318,10,2019
15,João Pedro (FLU),1006796,10,2019
16,Fernando Diniz (FLU),956632,10,2019
17,Jorge Jesus (FLA),853925,10,2019
18,Diego Alves (FLA),781652,10,2019
19,Pedro (FLU),746334,10,2019
20,Fábio Carille (COR),708484,10,2019
1,Hernanes (SAO),2042200,11,2019
2,Cazares (ATL),1983914,11,2019
3,Alexandre Pato (SAO),1454747,11,2019
4,Gilberto (BAH),1118614,11,2019
5,Alerrandro (ATL),1118374,11,2019
6,Reinaldo (SAO),970444,11,2019
7,Réver (ATL),948044,11,2019
8,Pedro (FLU),924523,11,2019
9,Bruno Alves (SAO),911551,11,2019
10,Jorge (SAN),832753,11,2019
11,Fagner (COR),749665,11,2019
12,Chará (ATL),712123,11,2019
13,Rodrigo Santana (ATL),708695,11,2019
14,Antony (SAO),706190,11,2019
15,Rodrigo Caio (FLA),684756,11,2019
16,Fábio Santos (ATL),683474,11,2019
17,Gabriel (FLA),682484,11,2019
18,Cuca (SAO),681146,11,2019
19,Yago Pikachu (VAS),650137,11,2019
20,Igor Rabello (ATL),641329,11,2019
1,Carlos Sánchez (SAN),2484356,12,2019
2,Jorge (SAN),2123360,12,2019
3,Gabriel (FLA),2076588,12,2019
4,Eduardo Sasha (SAN),1585128,12,2019
5,Rodrigo Caio (FLA),1433134,12,2019
6,Dudu (PAL),1388477,12,2019
7,Soteldo (SAN),1263787,12,2019
8,Jorge Sampaoli (SAN),1260018,12,2019
9,Gustavo Henrique (SAN),1173067,12,2019
10,Victor Ferraz (SAN),1135940,12,2019
11,Nonato (INT),1134597,12,2019
12,Bruno Henrique (PAL),1084256,12,2019
13,Cuéllar (FLA),1002171,12,2019
14,Éverson (SAN),931241,12,2019
15,Pedro Geromel (GRE),911315,12,2019
16,Diogo Barbosa (PAL),849541,12,2019
17,Gustavo Gómez (PAL),845228,12,2019
18,Luan (GRE),801790,12,2019
19,Everaldo (CHA),751964,12,2019
20,Aguilar (SAN),730619,12,2019
1,Everton (GRE),2776653,13,2019
2,Pedro Geromel (GRE),2251065,13,2019
3,Jorge (SAN),2219081,13,2019
4,Carlos Sánchez (SAN),1916309,13,2019
5,Eduardo Sasha (SAN),1694418,13,2019
6,Yago Pikachu (VAS),1476805,13,2019
7,Soteldo (SAN),1462522,13,2019
8,Pedro (FLU),1275714,13,2019
9,Jean Pyerre (GRE),1127176,13,2019
10,Leandro Castan (VAS),1053315,13,2019
11,Jorge Sampaoli (SAN),1025562,13,2019
12,Vanderlei Luxemburgo (VAS),1003169,13,2019
