Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Ricardo Bueno (ATA),Ceará,1852,1,2270.0,2270.0,1452.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1,2019
Bruno Henrique (ATA),Flamengo,2151,1,2100.0,2100.0,1151.0,,2.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,1,2019
Nikão (MEI),Athlético-PR,1929,1,1880.0,1880.0,1029.0,5.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,,,1,2019
Tiepo (GOL),Chapecoense,1318,1,1700.0,1700.0,1118.0,,,,1.0,,,,,4.0,,,,,,,,,,1,2019
Vanderlei (GOL),Santos,2269,1,1570.0,1570.0,569.0,,,,,,,,,6.0,,,,,,1.0,,,1.0,1,2019
Marco Ruben (ATA),Athlético-PR,1783,1,1570.0,1570.0,783.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1,2019
Ramiro (MEI),Corinthians,1554,1,1440.0,1440.0,754.0,5.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,1,2019
Everaldo (ATA),Chapecoense,1339,1,1430.0,1430.0,839.0,,2.0,,,1.0,,1.0,,,,,,,,,5.0,,3.0,1,2019
Eduardo Sasha (ATA),Santos,1277,1,1340.0,1340.0,777.0,4.0,1.0,,,2.0,1.0,,,,,,,,,,3.0,,3.0,1,2019
Geuvânio (ATA),Atlético-MG,1256,1,1310.0,1310.0,756.0,3.0,,1.0,,7.0,,1.0,,,,,,,,,1.0,,2.0,1,2019
Ricardo Oliveira (ATA),Atlético-MG,1894,1,1230.0,1230.0,394.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1,2019
Gabriel (ATA),Flamengo,1804,1,1200.0,1200.0,404.0,2.0,1.0,,,4.0,2.0,,,,,,,1.0,,,,,2.0,1,2019
Bruno Pacheco (LAT),Chapecoense,1249,1,1200.0,1200.0,649.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1,2019
Marrony (ATA),Vasco,1311,1,1190.0,1190.0,611.0,1.0,,1.0,,5.0,3.0,2.0,,,,,,,,,2.0,,3.0,1,2019
Tadeu (GOL),Goiás,1173,1,1190.0,1190.0,673.0,,,,1.0,1.0,,,,,1.0,,,,,,,,2.0,1,2019
Everton (ATA),Grêmio,1637,1,1060.0,1060.0,337.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,1,2019
Cuéllar (MEI),Flamengo,1263,1,1020.0,1020.0,463.0,7.0,,,,,1.0,,,,,,,,,,1.0,,2.0,1,2019
Clayson (ATA),Corinthians,1186,1,1010.0,1010.0,486.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,3.0,1,2019
Alexander (GOL),Vasco,833,1,1000.0,1000.0,633.0,,,,,,,,,6.0,,,,,,4.0,,,,1,2019
Ramires (MEI),Bahia,1436,1,970.0,970.0,336.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1,2019
Fábio Santos (LAT),Atlético-MG,1277,1,940.0,940.0,377.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019
Felipe Jonatan (LAT),Santos,999,1,940.0,940.0,499.0,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,1,2019
Luiz Otávio (ZAG),Ceará,1138,1,940.0,940.0,438.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,1,2019
Samuel Xavier (LAT),Ceará,1186,1,910.0,910.0,386.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,1,2019
Pedro Rocha (ATA),Cruzeiro,1256,1,910.0,910.0,356.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019
Jean Lucas (MEI),Santos,895,1,890.0,890.0,495.0,2.0,,1.0,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2019
Willian Arão (MEI),Flamengo,1173,1,890.0,890.0,373.0,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,1,2019
Enderson Moreira (TEC),Ceará,1027,1,881.0,881.0,427.0,,,,,,,,,,,,,,,,,,,1,2019
Leandro Carvalho (ATA),Ceará,1145,1,850.0,850.0,345.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1,2019
Kevin (LAT),Goiás,652,1,840.0,840.0,552.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019
Everton Ribeiro (MEI),Flamengo,1554,1,840.0,840.0,154.0,2.0,,1.0,,3.0,,,,,,,,,,,1.0,,2.0,1,2019
Moisés (LAT),Bahia,1124,1,820.0,820.0,324.0,5.0,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019
Eduardo (LAT),Chapecoense,985,1,820.0,820.0,385.0,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1,2019
Gilberto (ATA),Bahia,1471,1,820.0,820.0,171.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,3.0,,,1,2019
Bruno Guimarães (MEI),Athlético-PR,1263,1,820.0,820.0,263.0,,1.0,,,4.0,,,,,,,,,,,3.0,,1.0,1,2019
Pedro Geromel (ZAG),Grêmio,1249,1,800.0,800.0,249.0,5.0,,,,1.0,,,,,,,,,,,,,,1,2019
Rony (ATA),Athlético-PR,971,1,800.0,800.0,371.0,1.0,,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,1.0,1,2019
Diogo Silva (GOL),Ceará,763,1,800.0,800.0,463.0,,,,1.0,,,,,1.0,,,,,,,,,,1,2019
Pedrinho (MEI),Corinthians,1103,1,790.0,790.0,303.0,,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019
Artur (ATA),Bahia,826,1,790.0,790.0,426.0,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,7.0,1,2019
Jefferson (LAT),Goiás,680,1,780.0,780.0,480.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,1,2019
Hudson (MEI),São Paulo,1020,1,770.0,770.0,320.0,1.0,1.0,,,1.0,,,,,,,,,,,4.0,,1.0,1,2019
Gustavo Bochecha (MEI),Botafogo,805,1,760.0,760.0,405.0,5.0,,,,4.0,,,,,,,,,,,2.0,,3.0,1,2019
Gregore (MEI),Bahia,1207,1,740.0,740.0,207.0,6.0,,,,,,,,,,,,,,,2.0,,2.0,1,2019
André (ATA),Grêmio,839,1,710.0,710.0,339.0,,,,,4.0,1.0,2.0,1.0,,,,,,,,1.0,,2.0,1,2019
Felipe Alves (GOL),Fortaleza,694,1,700.0,700.0,394.0,,,,,,,,,5.0,,,,,,4.0,,,,1,2019
Antony (ATA),São Paulo,895,1,690.0,690.0,295.0,1.0,,1.0,,2.0,,,,,,,,,,,,,2.0,1,2019
Maicon (MEI),Grêmio,1166,1,680.0,680.0,166.0,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1,2019
Reinaldo (LAT),São Paulo,1228,1,670.0,670.0,128.0,2.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019
Arthur Caíke (ATA),Bahia,1020,1,670.0,670.0,220.0,,1.0,,,,1.0,,,,,,,,,,3.0,,2.0,1,2019
Manoel (ZAG),Corinthians,937,1,650.0,650.0,237.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,1,2019
David Duarte (ZAG),Goiás,798,1,650.0,650.0,298.0,1.0,,,1.0,,,,,,,,,,,,,,,1,2019
Ney Franco (TEC),Chapecoense,651,1,638.0,638.0,351.0,,,,,,,,,,,,,,,,,,,1,2019
Dawhan (MEI),CSA,708,1,620.0,620.0,308.0,4.0,,,,,1.0,,,,,,,,,,,,2.0,1,2019
Roger Machado (TEC),Bahia,820,1,582.0,582.0,220.0,,,,,,,,,,,,,,,,,,,1,2019
Ricardo (ZAG),Vasco,597,1,560.0,560.0,297.0,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,4.0,1,2019
Alan Ruschel (LAT),Chapecoense,735,1,560.0,560.0,235.0,,,,1.0,4.0,,1.0,,,,,,,,,4.0,,2.0,1,2019
Felipe (MEI),Fortaleza,652,1,540.0,540.0,252.0,3.0,,,,2.0,,1.0,,,,,,,,,2.0,,1.0,1,2019
Thiago Carleto (LAT),Ceará,930,1,540.0,540.0,130.0,,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019
Tiago Nunes (TEC),Athlético-PR,856,1,534.0,534.0,156.0,,,,,,,,,,,,,,,,,,,1,2019
Abel Braga (TEC),Flamengo,1059,1,526.0,526.0,59.0,,,,,,,,,,,,,,,,,,,1,2019
Ralf (MEI),Corinthians,916,1,520.0,520.0,116.0,3.0,,,,2.0,,,,,,,,,,,,,1.0,1,2019
Wellington Paulista (ATA),Fortaleza,916,1,520.0,520.0,116.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019
Arboleda (ZAG),São Paulo,985,1,520.0,520.0,85.0,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019
Igor Vinícius (LAT),São Paulo,777,1,520.0,520.0,177.0,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019
Tiago Alves (ZAG),Ceará,638,1,520.0,520.0,238.0,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019
Claudinei Oliveira (TEC),Goiás,702,1,512.0,512.0,202.0,,,,,,,,,,,,,,,,,,,1,2019
Adilson (MEI),Atlético-MG,756,1,490.0,490.0,156.0,3.0,,,,2.0,,,,,,,,,,,,,2.0,1,2019
Cuca (TEC),São Paulo,889,1,481.0,481.0,89.0,,,,,,,,,,,,,,,,,,,1,2019
Everton (MEI),São Paulo,1096,1,480.0,480.0,-4.0,,1.0,,,,,,,,,,,,,,4.0,,4.0,1,2019
Renato Gaúcho (TEC),Grêmio,1147,1,453.0,453.0,-53.0,,,,,,,,,,,,,,,,,,,1,2019
Auremir (MEI),Ceará,451,1,450.0,450.0,251.0,4.0,,,,1.0,,,,,,,,,,,4.0,,,1,2019
Tiago Volpi (GOL),São Paulo,860,1,440.0,440.0,60.0,,,,1.0,,,,,,,,,,,,,,2.0,1,2019
Jorge Sampaoli (TEC),Santos,928,1,437.0,437.0,28.0,,,,,,,,,,,,,,,,,,,1,2019
Rodrigo Santana (TEC),Atlético-MG,848,1,422.0,422.0,48.0,,,,,,,,,,,,,,,,,,,1,2019
Marquinhos Silva (ZAG),Avaí,638,1,420.0,420.0,138.0,3.0,,,,,,,,,,,,,,,,,1.0,1,2019
Fábio Carille (TEC),Corinthians,984,1,418.0,418.0,-16.0,,,,,,,,,,,,,,,,,,,1,2019
Raul (MEI),Vasco,562,1,410.0,410.0,162.0,4.0,,,,2.0,,1.0,,,,,,1.0,,,3.0,,2.0,1,2019
Roger Carvalho (ZAG),Fortaleza,562,1,410.0,410.0,162.0,3.0,,,,1.0,,,,,,,,,,,,,3.0,1,2019
Ernando (ZAG),Bahia,624,1,400.0,400.0,124.0,3.0,,,,,,,,,,,,,,,1.0,,,1,2019
Elias (MEI),Atlético-MG,964,1,390.0,390.0,-36.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,2.0,,3.0,1,2019
Fabinho (MEI),Ceará,617,1,390.0,390.0,117.0,4.0,,,,,,,,,,,,,,,3.0,,2.0,1,2019
Jean Mota (MEI),Santos,1096,1,380.0,380.0,-104.0,2.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1,2019
Gum (ZAG),Chapecoense,680,1,380.0,380.0,80.0,,,,1.0,,,,,,,,,,,,,,4.0,1,2019
Lucas Veríssimo (ZAG),Santos,680,1,380.0,380.0,80.0,5.0,,,,,,,,,,,,1.0,,,1.0,,4.0,1,2019
Luan (MEI),Atlético-MG,805,1,360.0,360.0,5.0,3.0,,,,1.0,,,,,,,,,,,1.0,,3.0,1,2019
Chará (ATA),Atlético-MG,874,1,360.0,360.0,-26.0,2.0,,,,1.0,3.0,,,,,,,,,,1.0,,6.0,1,2019
Chico (MEI),Ceará,597,1,360.0,360.0,97.0,3.0,,,,,,,,,,,,,,,,,3.0,1,2019
Marcos Valadares (TEC),Vasco,731,1,354.0,354.0,31.0,,,,,,,,,,,,,,,,,,,1,2019
Fagner (LAT),Corinthians,583,1,340.0,340.0,83.0,3.0,,,,3.0,,,,,,,,1.0,,,,,2.0,1,2019
Marcinho (LAT),Botafogo,638,1,320.0,320.0,38.0,2.0,,,,,1.0,,,,,,,,,,,,2.0,1,2019
Yony González (ATA),Fluminense,839,1,310.0,310.0,-61.0,1.0,,,,,2.0,,,,,,,,,,,,,1,2019
Geovane (MEI),Goiás,354,1,310.0,310.0,154.0,3.0,,,,,,,,,,,,,,,1.0,,3.0,1,2019
Régis (MEI),Chapecoense,347,1,300.0,300.0,147.0,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1,2019
Bruno Ramires (MEI),CSA,416,1,300.0,300.0,116.0,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1,2019
Renan Lodi (LAT),Athlético-PR,964,1,290.0,290.0,-136.0,,,,,3.0,,3.0,,,,,,,,,2.0,,4.0,1,2019
Bruno Silva (MEI),Fluminense,673,1,270.0,270.0,-27.0,1.0,,,,3.0,1.0,,,,,,,,,,1.0,,2.0,1,2019
Odair Hellmann (TEC),Internacional,739,1,265.0,265.0,-61.0,,,,,,,,,,,,,,,,,,,1,2019
Fred (ATA),Cruzeiro,874,1,260.0,260.0,-126.0,,,1.0,,3.0,,,,,,,,1.0,,,2.0,,3.0,1,2019
Bruno Alves (ZAG),São Paulo,666,1,260.0,260.0,-34.0,,,,1.0,,,,,,,,,,,,3.0,,3.0,1,2019
Léo Pereira (ZAG),Athlético-PR,666,1,260.0,260.0,-34.0,2.0,,,,,,1.0,,,,,,,,,2.0,,2.0,1,2019
Sornoza (MEI),Corinthians,520,1,250.0,250.0,20.0,1.0,,,,2.0,,,,,,,,,,,,,,1,2019
Edinho (MEI),Fortaleza,583,1,240.0,240.0,-17.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1,2019
Douglas (ZAG),Chapecoense,500,1,220.0,220.0,0.0,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1,2019
Nino Paraíba (LAT),Bahia,1395,1,210.0,210.0,-405.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,3.0,1,2019
Matheus Henrique (MEI),Grêmio,493,1,210.0,210.0,-7.0,3.0,,,,2.0,1.0,,,,,,,1.0,,,2.0,,4.0,1,2019
Márcio Araújo (MEI),Chapecoense,423,1,210.0,210.0,23.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,3.0,1,2019
Kayke (ATA),Goiás,423,1,210.0,210.0,23.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,3.0,1,2019
Geninho (TEC),Avaí,419,1,205.0,205.0,19.0,,,,,,,,,,,,,,,,,,,1,2019
Yago Pikachu (MEI),Vasco,1110,1,200.0,200.0,-290.0,1.0,,,,1.0,,,,,,,,,,,,,,1,2019
Rodriguinho (MEI),Cruzeiro,486,1,200.0,200.0,-14.0,1.0,,,,2.0,,,,,,,,,,,,1.0,,1,2019
Danilo Barcelos (LAT),Vasco,624,1,200.0,200.0,-76.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1,2019
Marcelo Lomba (GOL),Internacional,902,1,200.0,200.0,-198.0,,,,,,,,,2.0,,,,,,2.0,,,,1,2019
Didira (MEI),CSA,548,1,190.0,190.0,-52.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,1,2019
Rogério Ceni (TEC),Fortaleza,545,1,185.0,185.0,-55.0,,,,,,,,,,,,,,,,,,,1,2019
Matheus Barbosa (MEI),Avaí,264,1,180.0,180.0,64.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,1,2019
Léo Sena (MEI),Goiás,333,1,180.0,180.0,33.0,3.0,,,,4.0,,,,,,,,1.0,,,3.0,,4.0,1,2019
Tomás Andrade (MEI),Athlético-PR,611,1,180.0,180.0,-89.0,,,,,2.0,1.0,1.0,,,,,,,,,,,4.0,1,2019
Patrick Fabiano (ATA),CSA,673,1,170.0,170.0,-127.0,1.0,,,,1.0,2.0,,,,,,,,,,2.0,,3.0,1,2019
Leandro Barcia (ATA),Goiás,395,1,170.0,170.0,-5.0,,,,,3.0,2.0,,,,,,,,,,1.0,,3.0,1,2019
João Paulo (MEI),Avaí,458,1,160.0,160.0,-42.0,1.0,,,,3.0,,,,,,,,,,,1.0,,3.0,1,2019
Cícero (MEI),Botafogo,735,1,160.0,160.0,-165.0,,,,,2.0,,1.0,,,,,,,,,,,2.0,1,2019
Henrique (MEI),Cruzeiro,798,1,150.0,150.0,-202.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,1,2019
Victor Ferraz (LAT),Santos,728,1,150.0,150.0,-172.0,2.0,,,,,,,,,,,,,,,,,5.0,1,2019
Leonardo (LAT),Grêmio,590,1,150.0,150.0,-110.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,5.0,1,2019
Arrascaeta (MEI),Flamengo,1145,1,150.0,150.0,-355.0,,,,,2.0,1.0,,,,,,,,,,,,1.0,1,2019
Jonathan (LAT),Athlético-PR,583,1,140.0,140.0,-117.0,1.0,,,,,,1.0,,,,,,,,,2.0,,1.0,1,2019
Joel Carli (ZAG),Botafogo,722,1,140.0,140.0,-178.0,3.0,,,,,,,,,,,,1.0,,,1.0,,2.0,1,2019
Eduardo Barroca (TEC),Botafogo,648,1,134.0,134.0,-152.0,,,,,,,,,,,,,,,,,,,1,2019
Soteldo (MEI),Santos,576,1,130.0,130.0,-124.0,,,,,3.0,,1.0,,,,,,,,,,1.0,3.0,1,2019
Allan (MEI),Fluminense,354,1,110.0,110.0,-46.0,2.0,,,,,1.0,,,,,,,,,,3.0,,4.0,1,2019
Yago (ZAG),Goiás,354,1,110.0,110.0,-46.0,,,,1.0,,,,,,,,,1.0,,,2.0,,3.0,1,2019
Igor Gomes (MEI),São Paulo,146,1,110.0,110.0,46.0,1.0,,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019
Marcelo Cabo (TEC),CSA,213,1,107.0,107.0,13.0,,,,,,,,,,,,,,,,,,,1,2019
Paulo Roberto (MEI),Fortaleza,486,1,100.0,100.0,-114.0,1.0,,,,2.0,,,,,,,,,,,3.0,,,1,2019
Mosquera (MEI),Avaí,347,1,100.0,100.0,-53.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1,2019
Matheus Savio (MEI),CSA,416,1,100.0,100.0,-84.0,1.0,,,,,,1.0,,,,,,,,,1.0,,4.0,1,2019
Lucas Mineiro (MEI),Vasco,479,1,90.0,90.0,-121.0,2.0,,,,,1.0,,,,,,,,,,4.0,,3.0,1,2019
Luciano Castán (ZAG),CSA,409,1,90.0,90.0,-91.0,1.0,,,,,,,,,,,,,,,,,2.0,1,2019
Santos (GOL),Athlético-PR,617,1,90.0,90.0,-183.0,,,,,1.0,,,,1.0,,,,,,1.0,,,2.0,1,2019
Elton (MEI),Bahia,479,1,90.0,90.0,-121.0,2.0,,,,,,,,,,,,,,,3.0,,2.0,1,2019
Gerson (ZAG),CSA,340,1,90.0,90.0,-60.0,1.0,,,,,,,,,,,,,,,,,2.0,1,2019
Gabriel (ZAG),Botafogo,548,1,90.0,90.0,-152.0,1.0,,,,,,,,,,,,,,,,,2.0,1,2019
Paulinho (LAT),Avaí,201,1,90.0,90.0,1.0,3.0,,,,,,,,,,,,,,,6.0,,2.0,1,2019
João Paulo (MEI),Botafogo,611,1,80.0,80.0,-189.0,2.0,,,,3.0,,,,,,,,1.0,,,1.0,,4.0,1,2019
Miranda (ZAG),Vasco,257,1,70.0,70.0,-43.0,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,1,2019
Mano Menezes (TEC),Cruzeiro,875,1,61.0,61.0,-325.0,,,,,,,,,,,,,,,,,,,1,2019
Renê (LAT),Flamengo,874,1,60.0,60.0,-326.0,1.0,,,,,,,,,,,,,,,,,3.0,1,2019
Robinho (ATA),CSA,319,1,60.0,60.0,-81.0,1.0,,,,,,,,,,,,,,,,,3.0,1,2019
Airton (MEI),Fluminense,597,1,60.0,60.0,-203.0,1.0,,,,,,,,,,,,,,,,,3.0,1,2019
Gustavo Campanharo (MEI),Chapecoense,243,1,50.0,50.0,-57.0,,,,,,1.0,1.0,,,,,,,,,3.0,,,1,2019
Caio Henrique (MEI),Fluminense,520,1,50.0,50.0,-180.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1,2019
Dedé (ZAG),Cruzeiro,1415,1,40.0,40.0,-585.0,1.0,,,,,,,,,,,,,,,1.0,,2.0,1,2019
Kannemann (ZAG),Grêmio,1762,1,40.0,40.0,-738.0,2.0,,,,3.0,,,,,,,,1.0,,,3.0,,2.0,1,2019
Giovanni Augusto (MEI),Goiás,444,1,40.0,40.0,-156.0,1.0,,,,2.0,,,,,,,,,,,,,7.0,1,2019
Diego Torres (MEI),Chapecoense,368,1,30.0,30.0,-132.0,,,,,2.0,1.0,,,,,,,,,,,,5.0,1,2019
Ricardinho (MEI),Ceará,437,1,30.0,30.0,-163.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,1,2019
Erik (ATA),Botafogo,784,1,30.0,30.0,-316.0,,,,,4.0,,,,,,,,,,,1.0,,4.0,1,2019
Aguilar (ZAG),Santos,430,1,20.0,20.0,-170.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,1,2019
Bruno Cortez (LAT),Grêmio,562,1,10.0,10.0,-238.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,3.0,1,2019
Tchê Tchê (MEI),São Paulo,354,1,10.0,10.0,-146.0,,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,1,2019
Réver (ZAG),Atlético-MG,1600,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Rodrigo Moledo (ZAG),Internacional,347,1,0.0,0.0,-153.0,,,,,,,,,,,,,,,,,,,1,2019
Víctor Cuesta (ZAG),Internacional,1500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Nico López (ATA),Internacional,2200,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Iago (LAT),Internacional,1200,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Gilberto (LAT),Fluminense,971,1,0.0,0.0,-429.0,,,,,1.0,,1.0,,,,,,,,,1.0,,4.0,1,2019
Igor Rabello (ZAG),Atlético-MG,1200,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Henrique (ZAG),Corinthians,800,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Léo (ZAG),Cruzeiro,800,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Robinho (MEI),Cruzeiro,900,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Zeca (LAT),Internacional,600,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Alex Silva (LAT),Avaí,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Edenílson (MEI),Internacional,1100,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Rodrigo Dourado (MEI),Internacional,900,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Paolo Guerrero (ATA),Internacional,1300,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Rhodolfo (ZAG),Flamengo,700,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Patrick (MEI),Internacional,900,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Gilson (LAT),Botafogo,700,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019
Apodi (LAT),CSA,472,1,-20.0,-20.0,-228.0,,,,,2.0,,,,,,,,,,,,,4.0,1,2019
Lucas Fonseca (ZAG),Bahia,465,1,-30.0,-30.0,-235.0,,,,,,,,,,,,,,,,,,1.0,1,2019
Pedro Castro (MEI),Avaí,257,1,-30.0,-30.0,-143.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,1,2019
Gegê (MEI),Avaí,187,1,-30.0,-30.0,-113.0,1.0,,,,1.0,,,,,,,,,,,4.0,,1.0,1,2019
Quintero (ZAG),Fortaleza,326,1,-30.0,-30.0,-174.0,,,,,,,,,,,,,,,,,,1.0,1,2019
Fernando Diniz (TEC),Fluminense,465,1,-30.0,-30.0,-235.0,,,,,,,,,,,,,,,,,,,1,2019
Alexandre Pato (ATA),São Paulo,520,1,-50.0,-50.0,-280.0,1.0,,,,,1.0,,,,,,,,,,3.0,2.0,1.0,1,2019
Wellington (MEI),Athlético-PR,305,1,-60.0,-60.0,-195.0,,,,,,,,,,,,,,,,,,2.0,1,2019
Júnior Santos (ATA),Fortaleza,444,1,-60.0,-60.0,-256.0,1.0,,,,,,,,,,,,,,,2.0,1.0,2.0,1,2019
Osvaldo (ATA),Fortaleza,437,1,-70.0,-70.0,-263.0,,,,,1.0,,2.0,,,,,,1.0,,,2.0,,2.0,1,2019
Carlinhos (LAT),CSA,361,1,-80.0,-80.0,-239.0,,,,,2.0,,,,,,,,,,,,,6.0,1,2019
Pará (LAT),Flamengo,500,1,-80.0,-80.0,-300.0,2.0,,,,,,,,,,,,1.0,,,3.0,,1.0,1,2019
Edílson (LAT),Cruzeiro,493,1,-90.0,-90.0,-307.0,2.0,,,,1.0,,,,,,,,1.0,,,3.0,,3.0,1,2019
Michael (ATA),Goiás,354,1,-90.0,-90.0,-246.0,,,,,,,,,,,,,,,,,,3.0,1,2019
Matheus Ferraz (ZAG),Fluminense,354,1,-90.0,-90.0,-246.0,,,,,,2.0,,,,,,,1.0,,,1.0,,,1,2019
Nino (ZAG),Fluminense,139,1,-100.0,-100.0,-161.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1,2019
Anderson (GOL),Bahia,208,1,-100.0,-100.0,-192.0,,,,,,,,,1.0,,,,,,2.0,,,,1,2019
Jordi (GOL),CSA,69,1,-130.0,-130.0,-131.0,,,,,,,,,1.0,,,,,,2.0,,,1.0,1,2019
Paulo Victor (GOL),Grêmio,465,1,-130.0,-130.0,-335.0,,,,,,,,,1.0,,,,,,2.0,,,1.0,1,2019
Gustavo Henrique (ZAG),Santos,465,1,-130.0,-130.0,-335.0,,,,,,,,,,,,,,,,2.0,,1.0,1,2019
Betão (ZAG),Avaí,312,1,-150.0,-150.0,-288.0,1.0,,,,2.0,,,,,,,,1.0,,,1.0,,5.0,1,2019
Raúl Cáceres (LAT),Vasco,312,1,-150.0,-150.0,-288.0,,,,,,,,,,,,,,,,3.0,,,1,2019
Gatito Fernández (GOL),Botafogo,860,1,-160.0,-160.0,-540.0,,,,,,,,,1.0,,,,,,2.0,,,2.0,1,2019
Maxi López (ATA),Vasco,444,1,-160.0,-160.0,-356.0,,,,,1.0,,,,,,,,,,,2.0,1.0,2.0,1,2019
Rodrigo Pimpão (ATA),Botafogo,236,1,-160.0,-160.0,-264.0,,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,2.0,1,2019
Boselli (ATA),Corinthians,500,1,-180.0,-180.0,-400.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,1,2019
Carlinhos (LAT),Fortaleza,361,1,-180.0,-180.0,-339.0,1.0,,,,1.0,,,,,,,,1.0,,,3.0,,1.0,1,2019
Victor (GOL),Atlético-MG,624,1,-200.0,-200.0,-476.0,,,,,,,,,,,,,,,1.0,,,,1,2019
Guga (LAT),Atlético-MG,278,1,-200.0,-200.0,-322.0,,,,,,,,,,,,,,,,1.0,,5.0,1,2019
