Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Guilherme Parede (ATA),Internacional,482,11,226.0,310.0,-19.0,5.0,1.0,1.0,,18.0,5.0,5.0,,,,,,1.0,,,12.0,6.0,12.0,18,2019
Gilson (LAT),Botafogo,510,14,225.0,10.0,-114.0,14.0,,1.0,5.0,12.0,1.0,,,,,,1.0,2.0,,,15.0,,33.0,18,2019
Léo (ZAG),Cruzeiro,676,12,224.0,-30.0,-25.0,15.0,,,3.0,4.0,,,,,,,,1.0,,,14.0,,12.0,18,2019
Gilberto (LAT),Fluminense,645,10,220.0,440.0,21.0,14.0,,1.0,1.0,5.0,3.0,2.0,,,,,,,,,12.0,,34.0,18,2019
Marcelo Benevenuto (ZAG),Botafogo,383,5,220.0,-260.0,-62.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,,,,2.0,,,5.0,,6.0,18,2019
Patric (LAT),Atlético-MG,419,10,218.0,190.0,-66.0,12.0,,1.0,3.0,3.0,5.0,2.0,,,,,,3.0,,,20.0,,27.0,18,2019
Gregore (MEI),Bahia,999,15,218.0,220.0,-1.0,48.0,,,,10.0,4.0,1.0,,,,,1.0,3.0,,,49.0,,44.0,18,2019
Tchê Tchê (MEI),São Paulo,503,16,213.0,190.0,-45.0,20.0,1.0,,,24.0,7.0,7.0,,,,,,4.0,,,20.0,,39.0,18,2019
Raniel (ATA),São Paulo,666,9,212.0,330.0,140.0,5.0,1.0,1.0,,13.0,8.0,6.0,1.0,,,1.0,1.0,2.0,,,11.0,3.0,12.0,18,2019
Marquinhos Silva (ZAG),Avaí,634,11,208.0,270.0,-18.0,16.0,,,1.0,6.0,8.0,,1.0,,,,,2.0,,,14.0,1.0,23.0,18,2019
Diego Tardelli (ATA),Grêmio,916,13,207.0,770.0,121.0,7.0,2.0,,,11.0,4.0,8.0,,,,,,,1.0,,8.0,3.0,28.0,18,2019
Klaus (ZAG),Internacional,436,6,203.0,710.0,172.0,4.0,,,3.0,2.0,,1.0,,,,,,1.0,,,9.0,,15.0,18,2019
Wilson (GOL),Atlético-MG,480,1,200.0,200.0,-20.0,,,,,,,,,2.0,,,,,,2.0,,,,18,2019
Marcelo Hermes (LAT),Goiás,310,5,196.0,160.0,-80.0,7.0,,1.0,,5.0,3.0,,,,,,,2.0,,,6.0,,12.0,18,2019
Marcos Júnior (MEI),Vasco,304,11,192.0,-240.0,-50.0,16.0,1.0,,,16.0,4.0,3.0,1.0,,,,,4.0,,,21.0,,34.0,18,2019
Digão (ZAG),Fluminense,588,6,190.0,440.0,25.0,11.0,,,1.0,6.0,1.0,,,,,,1.0,1.0,,,8.0,1.0,8.0,18,2019
Anderson Martins (ZAG),São Paulo,303,9,190.0,-30.0,-101.0,13.0,,,3.0,1.0,,,,,,,,5.0,,,10.0,,10.0,18,2019
João Lucas (LAT),Ceará,835,15,189.0,-500.0,-111.0,17.0,1.0,,2.0,8.0,1.0,3.0,,,,1.0,,1.0,,,8.0,4.0,35.0,18,2019
Ganso (MEI),Fluminense,723,12,188.0,-150.0,-57.0,12.0,1.0,,,15.0,10.0,6.0,,,,,,4.0,,,11.0,,42.0,18,2019
Rafael Pereira (ZAG),Chapecoense,367,4,187.0,-250.0,-71.0,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,5.0,18,2019
Dawhan (MEI),CSA,618,14,186.0,10.0,-66.0,22.0,,,,7.0,6.0,,,,,,,2.0,,,13.0,,16.0,18,2019
Liziero (MEI),São Paulo,405,7,181.0,-10.0,-30.0,11.0,,,,8.0,1.0,1.0,,,,,,1.0,,,6.0,,16.0,18,2019
Joel Carli (ZAG),Botafogo,617,15,181.0,-200.0,-33.0,13.0,,,5.0,10.0,2.0,1.0,1.0,,,,,5.0,,,13.0,,39.0,18,2019
Flávio (MEI),Bahia,294,10,180.0,120.0,-50.0,18.0,,,,9.0,,1.0,,,,,,1.0,,,14.0,1.0,17.0,18,2019
Richard (MEI),Vasco,432,11,177.0,0.0,0.0,19.0,,,,14.0,2.0,,,,,,,3.0,,,13.0,,17.0,18,2019
Michel (MEI),Grêmio,470,10,176.0,220.0,37.0,25.0,,,,,3.0,2.0,,,,2.0,,1.0,,,17.0,,14.0,18,2019
Gabriel Dias (MEI),Fortaleza,423,15,176.0,210.0,42.0,19.0,,,,21.0,3.0,4.0,,,,,,3.0,,,17.0,1.0,16.0,18,2019
Quintero (ZAG),Fortaleza,378,18,175.0,340.0,-82.0,13.0,1.0,,3.0,6.0,1.0,1.0,,,,,,2.0,,,9.0,,25.0,18,2019
Wellington Nem (ATA),Fluminense,510,5,174.0,230.0,18.0,2.0,,,,15.0,5.0,2.0,,,,,,2.0,,,6.0,,4.0,18,2019
Amaral (MEI),Chapecoense,327,5,174.0,0.0,0.0,6.0,,,,2.0,,,,,,,,,,,2.0,,1.0,18,2019
Fabinho (MEI),Ceará,578,17,172.0,90.0,44.0,33.0,,,,14.0,2.0,,,,,,,4.0,,,28.0,,23.0,18,2019
Sarrafiore (MEI),Internacional,383,12,172.0,0.0,0.0,8.0,2.0,,,6.0,6.0,2.0,,,,,,3.0,,,12.0,,18.0,18,2019
Apodi (LAT),CSA,509,16,171.0,490.0,92.0,8.0,1.0,,5.0,14.0,4.0,3.0,,,,,,3.0,,,28.0,3.0,33.0,18,2019
Arboleda (ZAG),São Paulo,611,10,164.0,60.0,-106.0,10.0,,,3.0,6.0,2.0,,,,,,,3.0,,,12.0,1.0,19.0,18,2019
Matheus Henrique (MEI),Grêmio,423,8,158.0,500.0,42.0,11.0,,1.0,,11.0,1.0,2.0,,,,,,3.0,,,10.0,,22.0,18,2019
Luiz Fernando (MEI),Botafogo,404,16,157.0,-30.0,-25.0,8.0,1.0,,,19.0,5.0,4.0,1.0,,,,,2.0,,,10.0,2.0,20.0,18,2019
Elias (MEI),Atlético-MG,852,15,150.0,30.0,48.0,18.0,1.0,1.0,,12.0,3.0,3.0,1.0,,,,1.0,2.0,,,19.0,,47.0,18,2019
Talles Magno (ATA),Vasco,120,8,149.0,0.0,0.0,3.0,1.0,,,11.0,8.0,3.0,,,,,,3.0,,,13.0,,12.0,18,2019
Bruno Cortez (LAT),Grêmio,479,5,148.0,300.0,40.0,5.0,,1.0,,3.0,,,,,,,,,,,6.0,3.0,7.0,18,2019
Aylon (ATA),Chapecoense,310,8,148.0,400.0,43.0,5.0,,1.0,,8.0,1.0,1.0,,,,,,2.0,,,3.0,,4.0,18,2019
Naldo (MEI),CSA,333,15,147.0,120.0,-69.0,23.0,,,,8.0,5.0,2.0,,,,,,3.0,,,19.0,1.0,23.0,18,2019
Everton (MEI),São Paulo,730,13,146.0,260.0,39.0,14.0,1.0,2.0,,15.0,2.0,3.0,,,,,,3.0,,,30.0,7.0,27.0,18,2019
Bruno Henrique (MEI),Palmeiras,1013,11,141.0,420.0,135.0,12.0,1.0,,,12.0,3.0,1.0,,,,,,1.0,,,23.0,,22.0,18,2019
Matheus Barbosa (MEI),Avaí,354,8,140.0,120.0,19.0,11.0,,,,3.0,2.0,1.0,,,,,,,,,8.0,1.0,17.0,18,2019
Didira (MEI),CSA,530,13,139.0,0.0,0.0,17.0,,,,14.0,3.0,2.0,,,,,,3.0,,,14.0,,21.0,18,2019
David (ATA),Cruzeiro,427,16,137.0,-250.0,-133.0,8.0,,2.0,,12.0,9.0,7.0,,,,,,1.0,,,21.0,4.0,24.0,18,2019
Tiago Alves (ZAG),Ceará,491,9,133.0,-240.0,-31.0,6.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,7.0,2.0,16.0,18,2019
Lucho González (MEI),Athlético-PR,426,7,123.0,-330.0,-95.0,3.0,1.0,,,2.0,3.0,2.0,,,,,,1.0,,,10.0,,9.0,18,2019
Leonardo Silva (ZAG),Atlético-MG,479,6,122.0,500.0,77.0,6.0,,,,5.0,,,1.0,,,,,2.0,,,4.0,,4.0,18,2019
João Vitor (MEI),CSA,441,6,118.0,-40.0,4.0,17.0,,,,2.0,,,,,,,,4.0,,,14.0,1.0,13.0,18,2019
Jackson (ZAG),Fortaleza,393,4,115.0,-180.0,-106.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,3.0,1.0,8.0,18,2019
Brenner (ATA),Avaí,462,11,113.0,270.0,58.0,2.0,2.0,,,19.0,6.0,3.0,1.0,,,,,4.0,,,24.0,6.0,15.0,18,2019
Gilberto (MEI),Goiás,263,3,107.0,280.0,59.0,4.0,,,,1.0,1.0,,,,,,,1.0,,,3.0,,2.0,18,2019
Vitor Hugo (ZAG),Palmeiras,578,3,93.0,70.0,-14.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,1.0,4.0,18,2019
Felipe Melo (MEI),Palmeiras,618,7,93.0,0.0,0.0,6.0,1.0,,,10.0,6.0,2.0,,,,,1.0,4.0,,,11.0,,14.0,18,2019
Renatinho (MEI),Goiás,211,8,91.0,-140.0,-32.0,2.0,,,,7.0,4.0,4.0,,,,,,1.0,,,4.0,1.0,9.0,18,2019
Rossi (ATA),Vasco,380,12,82.0,120.0,64.0,6.0,,1.0,,16.0,10.0,6.0,,,,,,4.0,,,19.0,1.0,31.0,18,2019
Matheus Rossetto (MEI),Athlético-PR,237,5,58.0,-350.0,-63.0,8.0,,,,1.0,,,,,,,,1.0,,,8.0,,12.0,18,2019
Everton Felipe (MEI),Athlético-PR,266,4,57.0,350.0,112.0,2.0,,,,2.0,2.0,1.0,,,,,,1.0,,,2.0,,5.0,18,2019
Wescley (MEI),Ceará,438,7,54.0,500.0,60.0,6.0,,,,6.0,,1.0,,,,,,1.0,,,5.0,2.0,13.0,18,2019
Raúl Cáceres (LAT),Vasco,218,4,50.0,0.0,0.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,9.0,1.0,4.0,18,2019
Luiz Adriano (ATA),Palmeiras,471,3,37.0,-230.0,-89.0,1.0,,,,4.0,1.0,1.0,,,,,,,,,6.0,1.0,3.0,18,2019
Alecsandro (ATA),CSA,379,8,29.0,40.0,44.0,1.0,1.0,,,4.0,5.0,4.0,,,,,,1.0,1.0,,14.0,4.0,10.0,18,2019
Alan Ruschel (LAT),Goiás,375,7,26.0,-300.0,-69.0,4.0,,,1.0,14.0,1.0,2.0,,,,,,4.0,,,18.0,,8.0,18,2019
Jadson (MEI),Corinthians,319,8,-13.0,80.0,20.0,,,1.0,,1.0,5.0,,,,,,,2.0,,,4.0,,15.0,18,2019
Bustamante (ATA),CSA,77,5,-32.0,-180.0,-72.0,2.0,,,,6.0,2.0,1.0,,,,,,1.0,,,12.0,,8.0,18,2019
Airton (MEI),Fluminense,197,7,-73.0,-180.0,-49.0,4.0,,,,9.0,,,,,,,1.0,2.0,,,9.0,,7.0,18,2019
Arrascaeta (MEI),Flamengo,1623,11,1163.0,60.0,-279.0,16.0,8.0,7.0,,26.0,8.0,5.0,,,,,,1.0,,,12.0,,42.0,19,2019
Gabriel (ATA),Flamengo,2099,15,1078.0,850.0,-43.0,5.0,16.0,3.0,,14.0,18.0,15.0,,,,,,5.0,,,9.0,9.0,31.0,19,2019
Douglas Friedrich (GOL),Bahia,1397,18,773.0,100.0,-75.0,1.0,,,10.0,5.0,,,,36.0,1.0,,,,,14.0,,,6.0,19,2019
Pablo (ATA),São Paulo,1361,2,745.0,470.0,-149.0,1.0,1.0,,,3.0,5.0,1.0,,,,,,,,,,2.0,1.0,19,2019
Gilberto (ATA),Bahia,1691,15,734.0,750.0,16.0,10.0,10.0,2.0,,11.0,11.0,6.0,,,,,,,,,15.0,6.0,20.0,19,2019
Daniel Alves (LAT),São Paulo,1581,4,715.0,370.0,-122.0,7.0,1.0,,2.0,6.0,3.0,1.0,1.0,,,,,,,,9.0,1.0,15.0,19,2019
Reinaldo (LAT),São Paulo,1637,17,697.0,1500.0,246.0,31.0,4.0,1.0,7.0,20.0,12.0,5.0,,,,,,3.0,,,18.0,,36.0,19,2019
Thiago Galhardo (MEI),Ceará,1146,16,689.0,-90.0,-193.0,16.0,8.0,1.0,,20.0,13.0,14.0,1.0,,,,,1.0,,,14.0,4.0,40.0,19,2019
Jorge (LAT),Santos,1434,15,675.0,70.0,-195.0,24.0,1.0,4.0,7.0,25.0,8.0,7.0,,,,,,3.0,,,20.0,1.0,28.0,19,2019
Everton (ATA),Grêmio,1788,15,661.0,1380.0,-110.0,17.0,7.0,2.0,,10.0,7.0,6.0,1.0,,,,,1.0,,,7.0,,25.0,19,2019
Eduardo Sasha (ATA),Santos,1752,18,656.0,190.0,-26.0,22.0,8.0,1.0,,13.0,13.0,10.0,2.0,,,,,1.0,,,13.0,2.0,32.0,19,2019
Jordi (GOL),CSA,1066,18,640.0,200.0,-150.0,,,,6.0,3.0,,,,43.0,2.0,,,4.0,,23.0,2.0,,14.0,19,2019
Bruno Henrique (ATA),Flamengo,1929,17,629.0,350.0,-80.0,7.0,7.0,2.0,,38.0,21.0,15.0,2.0,,,,,4.0,,,24.0,4.0,24.0,19,2019
Rafael Galhardo (LAT),Grêmio,549,7,626.0,960.0,78.0,7.0,1.0,2.0,3.0,4.0,2.0,2.0,,,,,,,,,2.0,1.0,14.0,19,2019
Nino Paraíba (LAT),Bahia,1299,14,608.0,300.0,-184.0,23.0,1.0,3.0,7.0,21.0,4.0,3.0,,,,,,3.0,,,18.0,,32.0,19,2019
Jorge Jesus (TEC),Flamengo,1473,10,605.0,583.0,-44.0,,,,,,,,,,,,,,,,,,,19,2019
Yony González (ATA),Fluminense,1230,15,605.0,80.0,-16.0,14.0,4.0,,,25.0,26.0,12.0,2.0,,,,,1.0,,,14.0,4.0,16.0,19,2019
Marcos Rocha (LAT),Palmeiras,1671,12,604.0,920.0,87.0,36.0,1.0,1.0,4.0,14.0,3.0,,,,,,,1.0,,,20.0,,40.0,19,2019
Víctor Cuesta (ZAG),Internacional,1451,13,593.0,0.0,0.0,41.0,,,6.0,12.0,,,,,,,,4.0,,,11.0,,23.0,19,2019
Diogo Barbosa (LAT),Palmeiras,1386,11,589.0,670.0,85.0,35.0,,,4.0,11.0,2.0,2.0,,,,,,2.0,,,18.0,,14.0,19,2019
Alisson (MEI),Grêmio,939,9,579.0,1500.0,160.0,10.0,2.0,4.0,,17.0,4.0,5.0,,,,,,4.0,,,10.0,,12.0,19,2019
Fagner (LAT),Corinthians,1292,13,578.0,360.0,-89.0,27.0,,2.0,7.0,19.0,2.0,2.0,,,,,,2.0,,,12.0,,46.0,19,2019
Leandro Castan (ZAG),Vasco,959,8,571.0,-160.0,-64.0,12.0,2.0,1.0,3.0,8.0,1.0,2.0,,,,,,4.0,,,4.0,2.0,15.0,19,2019
Rony (ATA),Athlético-PR,1309,12,567.0,0.0,0.0,10.0,4.0,2.0,,26.0,14.0,10.0,1.0,,,,,3.0,,,28.0,2.0,24.0,19,2019
Pablo Marí (ZAG),Flamengo,754,8,564.0,500.0,-69.0,14.0,2.0,,4.0,1.0,1.0,,,,,,,2.0,,,12.0,1.0,9.0,19,2019
Jean Pyerre (MEI),Grêmio,1048,10,561.0,1190.0,103.0,12.0,3.0,2.0,,11.0,7.0,4.0,,,,,,,,,10.0,,23.0,19,2019
Everaldo (ATA),Chapecoense,1670,18,560.0,250.0,-20.0,9.0,8.0,1.0,,32.0,28.0,21.0,,,,,,4.0,1.0,,37.0,2.0,46.0,19,2019
Rodrigo Lindoso (MEI),Internacional,1135,11,553.0,0.0,0.0,28.0,2.0,1.0,,6.0,5.0,4.0,,,,,,1.0,,,12.0,,20.0,19,2019
Moisés (LAT),Bahia,1282,15,541.0,50.0,-226.0,42.0,,1.0,7.0,7.0,9.0,4.0,,,,,1.0,4.0,,,30.0,1.0,30.0,19,2019
Carlos Sánchez (MEI),Santos,1367,18,535.0,450.0,-49.0,19.0,6.0,3.0,,36.0,11.0,11.0,2.0,,,,,2.0,1.0,,25.0,4.0,63.0,19,2019
Léo Sena (MEI),Goiás,872,14,532.0,640.0,-112.0,44.0,,1.0,,51.0,5.0,1.0,,,,,1.0,3.0,,,10.0,,37.0,19,2019
Tiago Volpi (GOL),São Paulo,1026,18,530.0,-200.0,-115.0,,,,7.0,7.0,,,,29.0,,,,,,13.0,,,13.0,19,2019
Filipe Luís (LAT),Flamengo,1319,6,527.0,830.0,-14.0,19.0,,,3.0,2.0,,,,,,,,,,,15.0,,18.0,19,2019
Carlinhos (LAT),CSA,804,15,520.0,520.0,-3.0,24.0,1.0,,6.0,13.0,7.0,6.0,,,,,,,,,6.0,,41.0,19,2019
Rafinha (LAT),Flamengo,1042,8,519.0,740.0,22.0,12.0,,3.0,4.0,9.0,,,,,,,,3.0,,,11.0,,15.0,19,2019
Diego Alves (GOL),Flamengo,788,15,516.0,500.0,-80.0,2.0,,,6.0,1.0,,,,20.0,2.0,,,,,14.0,,,7.0,19,2019
Pedrinho (MEI),Corinthians,1153,13,512.0,390.0,13.0,10.0,4.0,1.0,,23.0,7.0,10.0,,,,,,,,,4.0,1.0,40.0,19,2019
Pedro Henrique (ZAG),Athlético-PR,970,11,507.0,650.0,118.0,14.0,,,6.0,11.0,3.0,2.0,,,,,,,,,2.0,,15.0,19,2019
Gatito Fernández (GOL),Botafogo,1030,16,506.0,1170.0,183.0,,,,7.0,4.0,,,,27.0,,,,3.0,,14.0,,,10.0,19,2019
Paolo Guerrero (ATA),Internacional,1265,8,503.0,0.0,0.0,5.0,3.0,,,12.0,9.0,6.0,1.0,,,,,1.0,,,12.0,6.0,12.0,19,2019
Raul (MEI),Vasco,906,16,499.0,830.0,78.0,44.0,,2.0,,41.0,7.0,7.0,,,,,,4.0,,,28.0,,29.0,19,2019
João Pedro (ATA),Fluminense,608,13,491.0,360.0,-86.0,7.0,4.0,1.0,,13.0,9.0,15.0,,,,,,1.0,,,11.0,5.0,18.0,19,2019
Bruno Guimarães (MEI),Athlético-PR,1244,12,485.0,0.0,0.0,15.0,2.0,1.0,,41.0,8.0,7.0,1.0,,,,,1.0,,,21.0,,37.0,19,2019
Willian Arão (MEI),Flamengo,1341,17,484.0,110.0,-161.0,40.0,1.0,4.0,,11.0,9.0,4.0,1.0,,,,,1.0,,,26.0,,38.0,19,2019
Mateus Vital (MEI),Corinthians,748,13,477.0,270.0,-69.0,15.0,1.0,2.0,,29.0,10.0,6.0,,,,,,1.0,,,4.0,,14.0,19,2019
Lima (MEI),Ceará,525,6,477.0,250.0,-69.0,13.0,,1.0,,11.0,3.0,5.0,,,,,,1.0,,,7.0,2.0,11.0,19,2019
Jorge Sampaoli (TEC),Santos,1221,19,474.0,62.0,-56.0,,,,,,,,,,,,,,,,,,,19,2019
Marcelo Lomba (GOL),Internacional,1192,16,461.0,0.0,0.0,,,,6.0,4.0,,,,24.0,,,,,,15.0,,,1.0,19,2019
Lucas Veríssimo (ZAG),Santos,954,17,458.0,130.0,-44.0,41.0,1.0,,7.0,12.0,7.0,2.0,2.0,,,,1.0,5.0,,,36.0,1.0,43.0,19,2019
Juninho (ZAG),Bahia,566,9,454.0,120.0,-50.0,8.0,,,6.0,6.0,3.0,2.0,,,,,,1.0,,,3.0,,18.0,19,2019
Gustavo Campanharo (MEI),Chapecoense,623,17,453.0,80.0,-13.0,37.0,1.0,1.0,,29.0,10.0,4.0,,,,,,,,,20.0,,30.0,19,2019
Jonatan Gomez (MEI),CSA,661,11,451.0,0.0,0.0,9.0,2.0,2.0,,32.0,9.0,7.0,,,,,,3.0,,,12.0,1.0,30.0,19,2019
Santos (GOL),Athlético-PR,831,13,448.0,0.0,0.0,,,,6.0,2.0,,,,17.0,1.0,,,1.0,,12.0,1.0,,14.0,19,2019
Victor Ferraz (LAT),Santos,1058,16,448.0,490.0,18.0,25.0,,1.0,8.0,12.0,4.0,3.0,,,,,,3.0,,,8.0,1.0,44.0,19,2019
Rodrigo Moledo (ZAG),Internacional,655,7,447.0,0.0,0.0,10.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,,4.0,19,2019
Roger Machado (TEC),Bahia,1133,19,441.0,229.0,-70.0,,,,,,,,,,,,,,,,,,,19,2019
Odair Hellmann (TEC),Internacional,1131,19,440.0,540.0,-2.0,,,,,,,,,,,,,,,,,,,19,2019
Vladimir (GOL),Avaí,865,18,438.0,1400.0,298.0,,,,5.0,1.0,,,,34.0,,,,2.0,,22.0,,,2.0,19,2019
Bruninho (MEI),Atlético-MG,433,4,438.0,1580.0,280.0,2.0,1.0,,,4.0,3.0,4.0,,,,,,,,,3.0,,4.0,19,2019
