Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Ricardo Bueno (ATA),Ceará,18.52,1,22.7,22.7,14.52,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1,2019,,
Bruno Henrique (ATA),Flamengo,21.51,1,21.0,21.0,11.51,,2.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,1,2019,,
Nikão (MEI),Athlético-PR,19.29,1,18.8,18.8,10.29,5.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,,,1,2019,,
Tiepo (GOL),Chapecoense,13.18,1,17.0,17.0,11.18,,,,1.0,,,,,4.0,,,,,,,,,,1,2019,,
Vanderlei (GOL),Santos,22.69,1,15.7,15.7,5.69,,,,,,,,,6.0,,,,,,1.0,,,1.0,1,2019,,
Marco Ruben (ATA),Athlético-PR,17.83,1,15.7,15.7,7.83,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1,2019,,
Ramiro (MEI),Corinthians,15.54,1,14.4,14.4,7.54,5.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,1,2019,,
Everaldo (ATA),Chapecoense,13.39,1,14.3,14.3,8.39,,2.0,,,1.0,,1.0,,,,,,,,,5.0,,3.0,1,2019,,
Eduardo Sasha (ATA),Santos,12.77,1,13.4,13.4,7.77,4.0,1.0,,,2.0,1.0,,,,,,,,,,3.0,,3.0,1,2019,,
Geuvânio (ATA),Atlético-MG,12.56,1,13.1,13.1,7.56,3.0,,1.0,,7.0,,1.0,,,,,,,,,1.0,,2.0,1,2019,,
Ricardo Oliveira (ATA),Atlético-MG,18.94,1,12.3,12.3,3.94,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1,2019,,
Gabriel (ATA),Flamengo,18.04,1,12.0,12.0,4.04,2.0,1.0,,,4.0,2.0,,,,,,,1.0,,,,,2.0,1,2019,,
Bruno Pacheco (LAT),Chapecoense,12.49,1,12.0,12.0,6.49,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1,2019,,
Marrony (ATA),Vasco,13.11,1,11.9,11.9,6.11,1.0,,1.0,,5.0,3.0,2.0,,,,,,,,,2.0,,3.0,1,2019,,
Tadeu (GOL),Goiás,11.73,1,11.9,11.9,6.73,,,,1.0,1.0,,,,,1.0,,,,,,,,2.0,1,2019,,
Everton (ATA),Grêmio,16.37,1,10.6,10.6,3.37,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,1,2019,,
Cuéllar (MEI),Flamengo,12.63,1,10.2,10.2,4.63,7.0,,,,,1.0,,,,,,,,,,1.0,,2.0,1,2019,,
Clayson (ATA),Corinthians,11.86,1,10.1,10.1,4.86,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,3.0,1,2019,,
Alexander (GOL),Vasco,8.33,1,10.0,10.0,6.33,,,,,,,,,6.0,,,,,,4.0,,,,1,2019,,
Ramires (MEI),Bahia,14.36,1,9.7,9.7,3.36,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1,2019,,
Fábio Santos (LAT),Atlético-MG,12.77,1,9.4,9.4,3.77,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Felipe Jonatan (LAT),Santos,9.99,1,9.4,9.4,4.99,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,1,2019,,
Luiz Otávio (ZAG),Ceará,11.38,1,9.4,9.4,4.38,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Samuel Xavier (LAT),Ceará,11.86,1,9.1,9.1,3.86,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,1,2019,,
Pedro Rocha (ATA),Cruzeiro,12.56,1,9.1,9.1,3.56,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019,,
Jean Lucas (MEI),Santos,8.95,1,8.9,8.9,4.95,2.0,,1.0,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2019,,
Willian Arão (MEI),Flamengo,11.73,1,8.9,8.9,3.73,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Enderson Moreira (TEC),Ceará,10.27,1,8.81,8.81,4.27,,,,,,,,,,,,,,,,,,,1,2019,,
Leandro Carvalho (ATA),Ceará,11.45,1,8.5,8.5,3.45,,1.0,,,,1.0,,,,,,,,,,,,1.0,1,2019,,
Kevin (LAT),Goiás,6.52,1,8.4,8.4,5.52,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019,,
Everton Ribeiro (MEI),Flamengo,15.54,1,8.4,8.4,1.54,2.0,,1.0,,3.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Moisés (LAT),Bahia,11.24,1,8.2,8.2,3.24,5.0,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019,,
Eduardo (LAT),Chapecoense,9.85,1,8.2,8.2,3.85,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1,2019,,
Gilberto (ATA),Bahia,14.71,1,8.2,8.2,1.71,2.0,,1.0,,1.0,,1.0,,,,,,,,,3.0,,,1,2019,,
Bruno Guimarães (MEI),Athlético-PR,12.63,1,8.2,8.2,2.63,,1.0,,,4.0,,,,,,,,,,,3.0,,1.0,1,2019,,
Pedro Geromel (ZAG),Grêmio,12.49,1,8.0,8.0,2.49,5.0,,,,1.0,,,,,,,,,,,,,,1,2019,,
Rony (ATA),Athlético-PR,9.71,1,8.0,8.0,3.71,1.0,,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,1.0,1,2019,,
Diogo Silva (GOL),Ceará,7.63,1,8.0,8.0,4.63,,,,1.0,,,,,1.0,,,,,,,,,,1,2019,,
Pedrinho (MEI),Corinthians,11.03,1,7.9,7.9,3.03,,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Artur (ATA),Bahia,8.26,1,7.9,7.9,4.26,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,7.0,1,2019,,
Jefferson (LAT),Goiás,6.8,1,7.8,7.8,4.8,1.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,1,2019,,
Hudson (MEI),São Paulo,10.2,1,7.7,7.7,3.2,1.0,1.0,,,1.0,,,,,,,,,,,4.0,,1.0,1,2019,,
Gustavo Bochecha (MEI),Botafogo,8.05,1,7.6,7.6,4.05,5.0,,,,4.0,,,,,,,,,,,2.0,,3.0,1,2019,,
Gregore (MEI),Bahia,12.07,1,7.4,7.4,2.07,6.0,,,,,,,,,,,,,,,2.0,,2.0,1,2019,,
André (ATA),Grêmio,8.39,1,7.1,7.1,3.39,,,,,4.0,1.0,2.0,1.0,,,,,,,,1.0,,2.0,1,2019,,
Felipe Alves (GOL),Fortaleza,6.94,1,7.0,7.0,3.94,,,,,,,,,5.0,,,,,,4.0,,,,1,2019,,
Antony (ATA),São Paulo,8.95,1,6.9,6.9,2.95,1.0,,1.0,,2.0,,,,,,,,,,,,,2.0,1,2019,,
Maicon (MEI),Grêmio,11.66,1,6.8,6.8,1.66,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1,2019,,
Reinaldo (LAT),São Paulo,12.28,1,6.7,6.7,1.28,2.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019,,
Arthur Caíke (ATA),Bahia,10.2,1,6.7,6.7,2.2,,1.0,,,,1.0,,,,,,,,,,3.0,,2.0,1,2019,,
Manoel (ZAG),Corinthians,9.37,1,6.5,6.5,2.37,4.0,,,,,1.0,,,,,,,,,,,,1.0,1,2019,,
David Duarte (ZAG),Goiás,7.98,1,6.5,6.5,2.98,1.0,,,1.0,,,,,,,,,,,,,,,1,2019,,
Ney Franco (TEC),Chapecoense,6.51,1,6.38,6.38,3.51,,,,,,,,,,,,,,,,,,,1,2019,,
Dawhan (MEI),CSA,7.08,1,6.2,6.2,3.08,4.0,,,,,1.0,,,,,,,,,,,,2.0,1,2019,,
Roger Machado (TEC),Bahia,8.2,1,5.82,5.82,2.2,,,,,,,,,,,,,,,,,,,1,2019,,
Ricardo (ZAG),Vasco,5.97,1,5.6,5.6,2.97,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,4.0,1,2019,,
Alan Ruschel (LAT),Chapecoense,7.35,1,5.6,5.6,2.35,,,,1.0,4.0,,1.0,,,,,,,,,4.0,,2.0,1,2019,,
Felipe (MEI),Fortaleza,6.52,1,5.4,5.4,2.52,3.0,,,,2.0,,1.0,,,,,,,,,2.0,,1.0,1,2019,,
Thiago Carleto (LAT),Ceará,9.3,1,5.4,5.4,1.3,,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019,,
Tiago Nunes (TEC),Athlético-PR,8.56,1,5.34,5.34,1.56,,,,,,,,,,,,,,,,,,,1,2019,,
Abel Braga (TEC),Flamengo,10.59,1,5.26,5.26,0.59,,,,,,,,,,,,,,,,,,,1,2019,,
Ralf (MEI),Corinthians,9.16,1,5.2,5.2,1.16,3.0,,,,2.0,,,,,,,,,,,,,1.0,1,2019,,
Wellington Paulista (ATA),Fortaleza,9.16,1,5.2,5.2,1.16,2.0,,,,3.0,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019,,
Arboleda (ZAG),São Paulo,9.85,1,5.2,5.2,0.85,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019,,
Igor Vinícius (LAT),São Paulo,7.77,1,5.2,5.2,1.77,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019,,
Tiago Alves (ZAG),Ceará,6.38,1,5.2,5.2,2.38,1.0,,,1.0,,,,,,,,,,,,2.0,,1.0,1,2019,,
Claudinei Oliveira (TEC),Goiás,7.02,1,5.12,5.12,2.02,,,,,,,,,,,,,,,,,,,1,2019,,
Adilson (MEI),Atlético-MG,7.56,1,4.9,4.9,1.56,3.0,,,,2.0,,,,,,,,,,,,,2.0,1,2019,,
Cuca (TEC),São Paulo,8.89,1,4.81,4.81,0.89,,,,,,,,,,,,,,,,,,,1,2019,,
Everton (MEI),São Paulo,10.96,1,4.8,4.8,-0.04,,1.0,,,,,,,,,,,,,,4.0,,4.0,1,2019,,
Renato Gaúcho (TEC),Grêmio,11.47,1,4.53,4.53,-0.53,,,,,,,,,,,,,,,,,,,1,2019,,
Auremir (MEI),Ceará,4.51,1,4.5,4.5,2.51,4.0,,,,1.0,,,,,,,,,,,4.0,,,1,2019,,
Tiago Volpi (GOL),São Paulo,8.6,1,4.4,4.4,0.6,,,,1.0,,,,,,,,,,,,,,2.0,1,2019,,
Jorge Sampaoli (TEC),Santos,9.28,1,4.37,4.37,0.28,,,,,,,,,,,,,,,,,,,1,2019,,
Rodrigo Santana (TEC),Atlético-MG,8.48,1,4.22,4.22,0.48,,,,,,,,,,,,,,,,,,,1,2019,,
Marquinhos Silva (ZAG),Avaí,6.38,1,4.2,4.2,1.38,3.0,,,,,,,,,,,,,,,,,1.0,1,2019,,
Fábio Carille (TEC),Corinthians,9.84,1,4.18,4.18,-0.16,,,,,,,,,,,,,,,,,,,1,2019,,
Raul (MEI),Vasco,5.62,1,4.1,4.1,1.62,4.0,,,,2.0,,1.0,,,,,,1.0,,,3.0,,2.0,1,2019,,
Roger Carvalho (ZAG),Fortaleza,5.62,1,4.1,4.1,1.62,3.0,,,,1.0,,,,,,,,,,,,,3.0,1,2019,,
Ernando (ZAG),Bahia,6.24,1,4.0,4.0,1.24,3.0,,,,,,,,,,,,,,,1.0,,,1,2019,,
Elias (MEI),Atlético-MG,9.64,1,3.9,3.9,-0.36,1.0,,,,1.0,1.0,,1.0,,,,,,,,2.0,,3.0,1,2019,,
Fabinho (MEI),Ceará,6.17,1,3.9,3.9,1.17,4.0,,,,,,,,,,,,,,,3.0,,2.0,1,2019,,
Jean Mota (MEI),Santos,10.96,1,3.8,3.8,-1.04,2.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1,2019,,
Gum (ZAG),Chapecoense,6.8,1,3.8,3.8,0.8,,,,1.0,,,,,,,,,,,,,,4.0,1,2019,,
Lucas Veríssimo (ZAG),Santos,6.8,1,3.8,3.8,0.8,5.0,,,,,,,,,,,,1.0,,,1.0,,4.0,1,2019,,
Luan (MEI),Atlético-MG,8.05,1,3.6,3.6,0.05,3.0,,,,1.0,,,,,,,,,,,1.0,,3.0,1,2019,,
Chará (ATA),Atlético-MG,8.74,1,3.6,3.6,-0.26,2.0,,,,1.0,3.0,,,,,,,,,,1.0,,6.0,1,2019,,
Chico (MEI),Ceará,5.97,1,3.6,3.6,0.97,3.0,,,,,,,,,,,,,,,,,3.0,1,2019,,
Marcos Valadares (TEC),Vasco,7.31,1,3.54,3.54,0.31,,,,,,,,,,,,,,,,,,,1,2019,,
Fagner (LAT),Corinthians,5.83,1,3.4,3.4,0.83,3.0,,,,3.0,,,,,,,,1.0,,,,,2.0,1,2019,,
Marcinho (LAT),Botafogo,6.38,1,3.2,3.2,0.38,2.0,,,,,1.0,,,,,,,,,,,,2.0,1,2019,,
Yony González (ATA),Fluminense,8.39,1,3.1,3.1,-0.61,1.0,,,,,2.0,,,,,,,,,,,,,1,2019,,
Geovane (MEI),Goiás,3.54,1,3.1,3.1,1.54,3.0,,,,,,,,,,,,,,,1.0,,3.0,1,2019,,
Régis (MEI),Chapecoense,3.47,1,3.0,3.0,1.47,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1,2019,,
Bruno Ramires (MEI),CSA,4.16,1,3.0,3.0,1.16,2.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1,2019,,
Renan Lodi (LAT),Athlético-PR,9.64,1,2.9,2.9,-1.36,,,,,3.0,,3.0,,,,,,,,,2.0,,4.0,1,2019,,
Bruno Silva (MEI),Fluminense,6.73,1,2.7,2.7,-0.27,1.0,,,,3.0,1.0,,,,,,,,,,1.0,,2.0,1,2019,,
Odair Hellmann (TEC),Internacional,7.39,1,2.65,2.65,-0.61,,,,,,,,,,,,,,,,,,,1,2019,,
Fred (ATA),Cruzeiro,8.74,1,2.6,2.6,-1.26,,,1.0,,3.0,,,,,,,,1.0,,,2.0,,3.0,1,2019,,
Bruno Alves (ZAG),São Paulo,6.66,1,2.6,2.6,-0.34,,,,1.0,,,,,,,,,,,,3.0,,3.0,1,2019,,
Léo Pereira (ZAG),Athlético-PR,6.66,1,2.6,2.6,-0.34,2.0,,,,,,1.0,,,,,,,,,2.0,,2.0,1,2019,,
Sornoza (MEI),Corinthians,5.2,1,2.5,2.5,0.2,1.0,,,,2.0,,,,,,,,,,,,,,1,2019,,
Edinho (MEI),Fortaleza,5.83,1,2.4,2.4,-0.17,1.0,,,,,,1.0,,,,,,,,,,,1.0,1,2019,,
Douglas (ZAG),Chapecoense,5.0,1,2.2,2.2,0.0,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1,2019,,
Nino Paraíba (LAT),Bahia,13.95,1,2.1,2.1,-4.05,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,3.0,1,2019,,
Matheus Henrique (MEI),Grêmio,4.93,1,2.1,2.1,-0.07,3.0,,,,2.0,1.0,,,,,,,1.0,,,2.0,,4.0,1,2019,,
Márcio Araújo (MEI),Chapecoense,4.23,1,2.1,2.1,0.23,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,3.0,1,2019,,
Kayke (ATA),Goiás,4.23,1,2.1,2.1,0.23,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,3.0,1,2019,,
Geninho (TEC),Avaí,4.19,1,2.05,2.05,0.19,,,,,,,,,,,,,,,,,,,1,2019,,
Yago Pikachu (MEI),Vasco,11.1,1,2.0,2.0,-2.9,1.0,,,,1.0,,,,,,,,,,,,,,1,2019,,
Rodriguinho (MEI),Cruzeiro,4.86,1,2.0,2.0,-0.14,1.0,,,,2.0,,,,,,,,,,,,1.0,,1,2019,,
Danilo Barcelos (LAT),Vasco,6.24,1,2.0,2.0,-0.76,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1,2019,,
Marcelo Lomba (GOL),Internacional,9.02,1,2.0,2.0,-1.98,,,,,,,,,2.0,,,,,,2.0,,,,1,2019,,
Didira (MEI),CSA,5.48,1,1.9,1.9,-0.52,1.0,,,,2.0,,,,,,,,,,,,,2.0,1,2019,,
Rogério Ceni (TEC),Fortaleza,5.45,1,1.85,1.85,-0.55,,,,,,,,,,,,,,,,,,,1,2019,,
Matheus Barbosa (MEI),Avaí,2.64,1,1.8,1.8,0.64,1.0,,,,,1.0,,,,,,,,,,1.0,,,1,2019,,
Léo Sena (MEI),Goiás,3.33,1,1.8,1.8,0.33,3.0,,,,4.0,,,,,,,,1.0,,,3.0,,4.0,1,2019,,
Tomás Andrade (MEI),Athlético-PR,6.11,1,1.8,1.8,-0.89,,,,,2.0,1.0,1.0,,,,,,,,,,,4.0,1,2019,,
Patrick Fabiano (ATA),CSA,6.73,1,1.7,1.7,-1.27,1.0,,,,1.0,2.0,,,,,,,,,,2.0,,3.0,1,2019,,
Leandro Barcia (ATA),Goiás,3.95,1,1.7,1.7,-0.05,,,,,3.0,2.0,,,,,,,,,,1.0,,3.0,1,2019,,
João Paulo (MEI),Avaí,4.58,1,1.6,1.6,-0.42,1.0,,,,3.0,,,,,,,,,,,1.0,,3.0,1,2019,,
Cícero (MEI),Botafogo,7.35,1,1.6,1.6,-1.65,,,,,2.0,,1.0,,,,,,,,,,,2.0,1,2019,,
Henrique (MEI),Cruzeiro,7.98,1,1.5,1.5,-2.02,1.0,,,,2.0,,,,,,,,,,,2.0,,,1,2019,,
Victor Ferraz (LAT),Santos,7.28,1,1.5,1.5,-1.72,2.0,,,,,,,,,,,,,,,,,5.0,1,2019,,
Leonardo (LAT),Grêmio,5.9,1,1.5,1.5,-1.1,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,5.0,1,2019,,
Arrascaeta (MEI),Flamengo,11.45,1,1.5,1.5,-3.55,,,,,2.0,1.0,,,,,,,,,,,,1.0,1,2019,,
Jonathan (LAT),Athlético-PR,5.83,1,1.4,1.4,-1.17,1.0,,,,,,1.0,,,,,,,,,2.0,,1.0,1,2019,,
Joel Carli (ZAG),Botafogo,7.22,1,1.4,1.4,-1.78,3.0,,,,,,,,,,,,1.0,,,1.0,,2.0,1,2019,,
Eduardo Barroca (TEC),Botafogo,6.48,1,1.34,1.34,-1.52,,,,,,,,,,,,,,,,,,,1,2019,,
Soteldo (MEI),Santos,5.76,1,1.3,1.3,-1.24,,,,,3.0,,1.0,,,,,,,,,,1.0,3.0,1,2019,,
Allan (MEI),Fluminense,3.54,1,1.1,1.1,-0.46,2.0,,,,,1.0,,,,,,,,,,3.0,,4.0,1,2019,,
Yago (ZAG),Goiás,3.54,1,1.1,1.1,-0.46,,,,1.0,,,,,,,,,1.0,,,2.0,,3.0,1,2019,,
Igor Gomes (MEI),São Paulo,1.46,1,1.1,1.1,0.46,1.0,,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019,,
Marcelo Cabo (TEC),CSA,2.13,1,1.07,1.07,0.13,,,,,,,,,,,,,,,,,,,1,2019,,
Paulo Roberto (MEI),Fortaleza,4.86,1,1.0,1.0,-1.14,1.0,,,,2.0,,,,,,,,,,,3.0,,,1,2019,,
Mosquera (MEI),Avaí,3.47,1,1.0,1.0,-0.53,,,,,1.0,1.0,,,,,,,,,,,,1.0,1,2019,,
Matheus Savio (MEI),CSA,4.16,1,1.0,1.0,-0.84,1.0,,,,,,1.0,,,,,,,,,1.0,,4.0,1,2019,,
Lucas Mineiro (MEI),Vasco,4.79,1,0.9,0.9,-1.21,2.0,,,,,1.0,,,,,,,,,,4.0,,3.0,1,2019,,
Luciano Castán (ZAG),CSA,4.09,1,0.9,0.9,-0.91,1.0,,,,,,,,,,,,,,,,,2.0,1,2019,,
Santos (GOL),Athlético-PR,6.17,1,0.9,0.9,-1.83,,,,,1.0,,,,1.0,,,,,,1.0,,,2.0,1,2019,,
Elton (MEI),Bahia,4.79,1,0.9,0.9,-1.21,2.0,,,,,,,,,,,,,,,3.0,,2.0,1,2019,,
Gerson (ZAG),CSA,3.4,1,0.9,0.9,-0.6,1.0,,,,,,,,,,,,,,,,,2.0,1,2019,,
Gabriel (ZAG),Botafogo,5.48,1,0.9,0.9,-1.52,1.0,,,,,,,,,,,,,,,,,2.0,1,2019,,
Paulinho (LAT),Avaí,2.01,1,0.9,0.9,0.01,3.0,,,,,,,,,,,,,,,6.0,,2.0,1,2019,,
João Paulo (MEI),Botafogo,6.11,1,0.8,0.8,-1.89,2.0,,,,3.0,,,,,,,,1.0,,,1.0,,4.0,1,2019,,
Miranda (ZAG),Vasco,2.57,1,0.7,0.7,-0.43,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,1,2019,,
Mano Menezes (TEC),Cruzeiro,8.75,1,0.61,0.61,-3.25,,,,,,,,,,,,,,,,,,,1,2019,,
Renê (LAT),Flamengo,8.74,1,0.6,0.6,-3.26,1.0,,,,,,,,,,,,,,,,,3.0,1,2019,,
Robinho (ATA),CSA,3.19,1,0.6,0.6,-0.81,1.0,,,,,,,,,,,,,,,,,3.0,1,2019,,
Airton (MEI),Fluminense,5.97,1,0.6,0.6,-2.03,1.0,,,,,,,,,,,,,,,,,3.0,1,2019,,
Gustavo Campanharo (MEI),Chapecoense,2.43,1,0.5,0.5,-0.57,,,,,,1.0,1.0,,,,,,,,,3.0,,,1,2019,,
Caio Henrique (MEI),Fluminense,5.2,1,0.5,0.5,-1.8,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,1,2019,,
Dedé (ZAG),Cruzeiro,14.15,1,0.4,0.4,-5.85,1.0,,,,,,,,,,,,,,,1.0,,2.0,1,2019,,
Kannemann (ZAG),Grêmio,17.62,1,0.4,0.4,-7.38,2.0,,,,3.0,,,,,,,,1.0,,,3.0,,2.0,1,2019,,
Giovanni Augusto (MEI),Goiás,4.44,1,0.4,0.4,-1.56,1.0,,,,2.0,,,,,,,,,,,,,7.0,1,2019,,
Diego Torres (MEI),Chapecoense,3.68,1,0.3,0.3,-1.32,,,,,2.0,1.0,,,,,,,,,,,,5.0,1,2019,,
Ricardinho (MEI),Ceará,4.37,1,0.3,0.3,-1.63,,,,,1.0,1.0,,,,,,,,,,2.0,,,1,2019,,
Erik (ATA),Botafogo,7.84,1,0.3,0.3,-3.16,,,,,4.0,,,,,,,,,,,1.0,,4.0,1,2019,,
Aguilar (ZAG),Santos,4.3,1,0.2,0.2,-1.7,1.0,,,,,,,,,,,,,,,2.0,,1.0,1,2019,,
Bruno Cortez (LAT),Grêmio,5.62,1,0.1,0.1,-2.38,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,3.0,1,2019,,
Tchê Tchê (MEI),São Paulo,3.54,1,0.1,0.1,-1.46,,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,1,2019,,
Réver (ZAG),Atlético-MG,16.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Rodrigo Moledo (ZAG),Internacional,3.47,1,0.0,0.0,-1.53,,,,,,,,,,,,,,,,,,,1,2019,,
Víctor Cuesta (ZAG),Internacional,15.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Nico López (ATA),Internacional,22.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Iago (LAT),Internacional,12.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Gilberto (LAT),Fluminense,9.71,1,0.0,0.0,-4.29,,,,,1.0,,1.0,,,,,,,,,1.0,,4.0,1,2019,,
Igor Rabello (ZAG),Atlético-MG,12.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Henrique (ZAG),Corinthians,8.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Léo (ZAG),Cruzeiro,8.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Robinho (MEI),Cruzeiro,9.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Zeca (LAT),Internacional,6.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Alex Silva (LAT),Avaí,5.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Edenílson (MEI),Internacional,11.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Rodrigo Dourado (MEI),Internacional,9.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Paolo Guerrero (ATA),Internacional,13.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Rhodolfo (ZAG),Flamengo,7.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Patrick (MEI),Internacional,9.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Gilson (LAT),Botafogo,7.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1,2019,,
Apodi (LAT),CSA,4.72,1,-0.2,-0.2,-2.28,,,,,2.0,,,,,,,,,,,,,4.0,1,2019,,
Lucas Fonseca (ZAG),Bahia,4.65,1,-0.3,-0.3,-2.35,,,,,,,,,,,,,,,,,,1.0,1,2019,,
Pedro Castro (MEI),Avaí,2.57,1,-0.3,-0.3,-1.43,,,,,1.0,,,,,,,,,,,1.0,,1.0,1,2019,,
Gegê (MEI),Avaí,1.87,1,-0.3,-0.3,-1.13,1.0,,,,1.0,,,,,,,,,,,4.0,,1.0,1,2019,,
Quintero (ZAG),Fortaleza,3.26,1,-0.3,-0.3,-1.74,,,,,,,,,,,,,,,,,,1.0,1,2019,,
Fernando Diniz (TEC),Fluminense,4.65,1,-0.3,-0.3,-2.35,,,,,,,,,,,,,,,,,,,1,2019,,
Alexandre Pato (ATA),São Paulo,5.2,1,-0.5,-0.5,-2.8,1.0,,,,,1.0,,,,,,,,,,3.0,2.0,1.0,1,2019,,
Wellington (MEI),Athlético-PR,3.05,1,-0.6,-0.6,-1.95,,,,,,,,,,,,,,,,,,2.0,1,2019,,
Júnior Santos (ATA),Fortaleza,4.44,1,-0.6,-0.6,-2.56,1.0,,,,,,,,,,,,,,,2.0,1.0,2.0,1,2019,,
Osvaldo (ATA),Fortaleza,4.37,1,-0.7,-0.7,-2.63,,,,,1.0,,2.0,,,,,,1.0,,,2.0,,2.0,1,2019,,
Carlinhos (LAT),CSA,3.61,1,-0.8,-0.8,-2.39,,,,,2.0,,,,,,,,,,,,,6.0,1,2019,,
Pará (LAT),Flamengo,5.0,1,-0.8,-0.8,-3.0,2.0,,,,,,,,,,,,1.0,,,3.0,,1.0,1,2019,,
Edílson (LAT),Cruzeiro,4.93,1,-0.9,-0.9,-3.07,2.0,,,,1.0,,,,,,,,1.0,,,3.0,,3.0,1,2019,,
Michael (ATA),Goiás,3.54,1,-0.9,-0.9,-2.46,,,,,,,,,,,,,,,,,,3.0,1,2019,,
Matheus Ferraz (ZAG),Fluminense,3.54,1,-0.9,-0.9,-2.46,,,,,,2.0,,,,,,,1.0,,,1.0,,,1,2019,,
Nino (ZAG),Fluminense,1.39,1,-1.0,-1.0,-1.61,1.0,,,,,,,,,,,,1.0,,,1.0,,,1,2019,,
Anderson (GOL),Bahia,2.08,1,-1.0,-1.0,-1.92,,,,,,,,,1.0,,,,,,2.0,,,,1,2019,,
Jordi (GOL),CSA,0.69,1,-1.3,-1.3,-1.31,,,,,,,,,1.0,,,,,,2.0,,,1.0,1,2019,,
Paulo Victor (GOL),Grêmio,4.65,1,-1.3,-1.3,-3.35,,,,,,,,,1.0,,,,,,2.0,,,1.0,1,2019,,
