Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Maicon (MEI),Grêmio,8.35,4,2.15,1.3,-0.41,7.0,,1.0,,2.0,2.0,1.0,,,,,,2.0,,,5.0,,14.0,8,2019,,
Daniel (MEI),Fluminense,4.5,6,2.13,0.8,-0.41,5.0,,1.0,,9.0,2.0,3.0,,,,,,1.0,,,4.0,,18.0,8,2019,,
Diego Souza (ATA),Botafogo,6.25,7,2.11,10.0,1.13,1.0,1.0,1.0,,9.0,4.0,2.0,1.0,,,,,1.0,,,9.0,3.0,16.0,8,2019,,
Vitor Bueno (MEI),São Paulo,5.39,5,2.08,3.8,0.56,6.0,,,,5.0,2.0,1.0,,,,,,,,,3.0,,8.0,8,2019,,
Gilson (LAT),Botafogo,4.79,5,2.02,0.5,-1.11,4.0,,,2.0,6.0,1.0,,,,,,,2.0,,,6.0,,9.0,8,2019,,
Patric (LAT),Atlético-MG,4.61,4,2.0,4.9,-0.03,2.0,,1.0,1.0,,2.0,1.0,,,,,,1.0,,,5.0,,11.0,8,2019,,
Júnior Urso (MEI),Corinthians,6.99,4,1.98,3.4,-0.03,4.0,,,,5.0,3.0,4.0,,,,,,2.0,,,4.0,,6.0,8,2019,,
Ganso (MEI),Fluminense,8.3,4,1.92,4.6,0.54,3.0,,,,5.0,5.0,3.0,,,,,,1.0,,,5.0,,8.0,8,2019,,
Maranhão (ATA),CSA,3.09,5,1.92,-0.9,-0.55,3.0,1.0,,,4.0,2.0,,,,,,,,,,6.0,1.0,10.0,8,2019,,
Deyverson (ATA),Palmeiras,9.68,3,1.83,7.2,1.72,3.0,,,,9.0,6.0,1.0,,,,,,1.0,,,7.0,5.0,5.0,8,2019,,
Felipe (MEI),Fortaleza,5.25,5,1.8,0.0,-0.71,12.0,,,,5.0,,2.0,,,,,,2.0,,,6.0,,23.0,8,2019,,
Nino (ZAG),Fluminense,2.41,7,1.79,0.0,0.0,9.0,1.0,,,6.0,,1.0,,,,,,3.0,,,9.0,,9.0,8,2019,,
Marlon (MEI),Fortaleza,4.23,4,1.73,3.7,0.57,4.0,,,,5.0,,,,,,,,,,,2.0,,2.0,8,2019,,
Geovane (MEI),Goiás,3.89,7,1.71,0.0,-0.94,13.0,,,,4.0,7.0,1.0,,,,,,1.0,,,16.0,,21.0,8,2019,,
Bruno Henrique (MEI),Palmeiras,11.05,3,1.7,1.0,-0.35,5.0,,,,3.0,2.0,,,,,,,,,,8.0,,5.0,8,2019,,
Aguilar (ZAG),Santos,3.93,6,1.68,0.4,-0.55,4.0,,,2.0,,,,,,,,,,,,10.0,,3.0,8,2019,,
Bergson (ATA),Ceará,4.75,7,1.6,1.0,-0.44,4.0,,,,9.0,8.0,5.0,,,,,,1.0,,,10.0,4.0,9.0,8,2019,,
Yago Felipe (MEI),Goiás,3.16,4,1.6,0.0,-0.6,3.0,,1.0,,5.0,2.0,,,,,,,2.0,,,8.0,,4.0,8,2019,,
João Paulo (MEI),Avaí,4.75,8,1.6,2.7,0.1,11.0,,,,16.0,3.0,3.0,,,,,,1.0,,,17.0,,24.0,8,2019,,
Rossi (ATA),Vasco,4.63,7,1.59,1.5,0.4,4.0,,1.0,,9.0,6.0,3.0,,,,,,2.0,,,7.0,1.0,16.0,8,2019,,
Kieza (ATA),Fortaleza,4.06,6,1.58,0.0,-0.21,,,,,10.0,4.0,3.0,,,,,,,,,3.0,1.0,1.0,8,2019,,
Toró (ATA),São Paulo,3.92,7,1.53,-3.9,-1.41,5.0,1.0,,,12.0,5.0,2.0,,,,,1.0,1.0,,,12.0,,14.0,8,2019,,
Yago (ZAG),Goiás,3.15,7,1.52,-0.3,-0.19,4.0,,,2.0,2.0,,,,,,,,1.0,,,4.0,,8.0,8,2019,,
Arthur Gomes (ATA),Chapecoense,3.71,5,1.52,3.0,0.68,3.0,,,,7.0,,,1.0,,,,,,,,2.0,,8.0,8,2019,,
Diego Pituca (MEI),Santos,2.98,7,1.47,1.5,0.13,7.0,1.0,,,8.0,4.0,2.0,1.0,,,,,3.0,,,17.0,,21.0,8,2019,,
