mandante,visitante,placar_mandante,placar_visitante,data,local,rodada,ano
Palmeiras,Goiás,1.0,1.0,"SÁB, 15/08 21:30",Arena Palmeiras,3,2020
Atlético-MG,Ceará,2.0,0.0,"DOM, 16/08 11:00",Mineirão,3,2020
Vasco,São Paulo,2.0,1.0,"DOM, 16/08 16:00",São Januário,3,2020
Bahia,Bragantino,2.0,1.0,"DOM, 16/08 16:00",Pituaçu,3,2020
Fluminense,Internacional,2.0,1.0,"DOM, 16/08 18:00",Maracanã,3,2020
Atlético-GO,Sport,1.0,1.0,"DOM, 16/08 19:00",Olímpico (GO),3,2020
Fortaleza,Botafogo,0.0,0.0,"DOM, 16/08 19:30",Castelão (CE),3,2020
Santos,Athlético-PR,3.0,1.0,"DOM, 16/08 19:45",Vila Belmiro,3,2020
Flamengo,Grêmio,1.0,1.0,"QUA, 19/08 19:15",Maracanã,4,2020
Bragantino,Fluminense,2.0,1.0,"QUA, 19/08 19:15",Nabi Abi Chedid,4,2020
Athlético-PR,Palmeiras,0.0,1.0,"QUA, 19/08 19:30",Arena da Baixada,4,2020
Internacional,Atlético-GO,3.0,0.0,"QUA, 19/08 20:30",Beira-Rio,4,2020
Goiás,Fortaleza,1.0,3.0,"QUA, 19/08 20:30",Serrinha,4,2020
Botafogo,Atlético-MG,2.0,1.0,"QUA, 19/08 21:30",Nilton Santos (Engenhão),4,2020
Corinthians,Coritiba,3.0,1.0,"QUA, 19/08 21:30",Arena Corinthians,4,2020
Sport,Santos,0.0,1.0,"QUI, 20/08 19:15",Ilha do Retiro,4,2020
São Paulo,Bahia,1.0,1.0,"QUI, 20/08 20:00",Morumbi,4,2020
Ceará,Vasco,0.0,3.0,"QUI, 20/08 20:00",Castelão (CE),4,2020
Athlético-PR,Fluminense,0.0,1.0,"SÁB, 22/08 16:00",Arena da Baixada,5,2020
Internacional,Atlético-MG,1.0,0.0,"SÁB, 22/08 19:00",Beira-Rio,5,2020
Goiás,Atlético-GO,2.0,0.0,"SÁB, 22/08 21:00",Serrinha,5,2020
Flamengo,Botafogo,1.0,1.0,"DOM, 23/08 11:00",Maracanã,5,2020
Vasco,Grêmio,0.0,0.0,"DOM, 23/08 16:00",São Januário,5,2020
Palmeiras,Santos,2.0,1.0,"DOM, 23/08 16:00",Morumbi,5,2020
Bragantino,Coritiba,1.0,2.0,"DOM, 23/08 16:00",Nabi Abi Chedid,5,2020
Sport,São Paulo,0.0,1.0,"DOM, 23/08 19:00",Ilha do Retiro,5,2020
Ceará,Bahia,2.0,0.0,"DOM, 23/08 20:00",Castelão (CE),5,2020
Corinthians,Fortaleza,1.0,1.0,"QUA, 26/08 21:30",Arena Corinthians,5,2020
Atlético-MG,Athlético-PR,,,"SÁB, 29/08 16:00",Mineirão* (Partida não válida para a rodada),6,2020
Botafogo,Internacional,0.0,2.0,"SÁB, 29/08 17:00",Nilton Santos (Engenhão),6,2020
Fluminense,Vasco,2.0,1.0,"SÁB, 29/08 19:00",Maracanã,6,2020
Bahia,Palmeiras,1.0,1.0,"SÁB, 29/08 19:00",Pituaçu,6,2020
Fortaleza,Bragantino,3.0,0.0,"SÁB, 29/08 21:00",Castelão (CE),6,2020
São Paulo,Corinthians,2.0,1.0,"DOM, 30/08 11:00",Morumbi,6,2020
Santos,Flamengo,0.0,1.0,"DOM, 30/08 16:00",Vila Belmiro,6,2020
Coritiba,Sport,1.0,0.0,"DOM, 30/08 16:00",Couto Pereira,6,2020
Atlético-GO,Ceará,0.0,2.0,"DOM, 30/08 18:00",Olímpico (GO),6,2020
Grêmio,Goiás,,,"DOM, 30/08 19:00",Arena do Grêmio* (Partida não válida para a rodada),6,2020
Ceará,Fortaleza,1.0,0.0,"QUA, 02/09 19:00",Castelão (CE),7,2020
Fluminense,Atlético-GO,1.0,1.0,"QUA, 02/09 19:15",Maracanã,7,2020
Goiás,Corinthians,1.0,2.0,"QUA, 02/09 19:15",Serrinha,7,2020
Botafogo,Coritiba,0.0,0.0,"QUA, 02/09 20:30",Nilton Santos (Engenhão),7,2020
Bahia,Flamengo,3.0,5.0,"QUA, 02/09 20:30",Pituaçu,7,2020
Athlético-PR,Bragantino,1.0,1.0,"QUA, 02/09 20:30",Arena da Baixada,7,2020
Palmeiras,Internacional,1.0,1.0,"QUA, 02/09 21:30",Arena Palmeiras,7,2020
Santos,Vasco,2.0,2.0,"QUA, 02/09 21:30",Vila Belmiro,7,2020
Grêmio,Sport,1.0,2.0,"QUI, 03/09 19:00",Arena do Grêmio,7,2020
Atlético-MG,São Paulo,3.0,0.0,"QUI, 03/09 20:00",Mineirão,7,2020
Flamengo,Fortaleza,2.0,1.0,"SÁB, 05/09 17:00",Maracanã,8,2020
Corinthians,Botafogo,2.0,2.0,"SÁB, 05/09 19:00",Neo Química Arena,8,2020
Ceará,Santos,0.0,1.0,"SÁB, 05/09 21:00",Castelão (CE),8,2020
Bragantino,Palmeiras,1.0,2.0,"DOM, 06/09 11:00",Nabi Abi Chedid,8,2020
São Paulo,Fluminense,3.0,1.0,"DOM, 06/09 16:00",Morumbi,8,2020
Internacional,Bahia,2.0,2.0,"DOM, 06/09 16:00",Beira-Rio,8,2020
Vasco,Athlético-PR,1.0,0.0,"DOM, 06/09 18:00",São Januário,8,2020
Atlético-GO,Grêmio,1.0,1.0,"DOM, 06/09 19:00",Olímpico (GO),8,2020
Sport,Goiás,2.0,1.0,"DOM, 06/09 20:30",Ilha do Retiro,8,2020
Coritiba,Atlético-MG,0.0,1.0,"DOM, 06/09 20:30",Couto Pereira,8,2020
Athlético-PR,Botafogo,1.0,1.0,"QUA, 09/09 17:30",Arena da Baixada,9,2020
Fortaleza,Sport,1.0,0.0,"QUA, 09/09 18:00",Castelão (CE),9,2020
Goiás,Coritiba,3.0,3.0,"QUA, 09/09 18:00",Serrinha,9,2020
São Paulo,Bragantino,1.0,1.0,"QUA, 09/09 19:15",Morumbi,9,2020
Fluminense,Flamengo,1.0,2.0,"QUA, 09/09 21:30",Maracanã,9,2020
Santos,Atlético-MG,3.0,1.0,"QUA, 09/09 21:30",Vila Belmiro,9,2020
Corinthians,Palmeiras,0.0,2.0,"QUI, 10/09 19:15",Neo Química Arena,9,2020
Internacional,Ceará,2.0,0.0,"QUI, 10/09 19:15",Beira-Rio,9,2020
Bahia,Grêmio,0.0,2.0,"QUI, 10/09 19:15",Pituaçu,9,2020
Vasco,Atlético-GO,1.0,2.0,"QUI, 10/09 21:00",São Januário,9,2020
Athlético-PR,Coritiba,1.0,0.0,"SÁB, 12/09 16:30",Arena da Baixada,10,2020
Santos,São Paulo,2.0,2.0,"SÁB, 12/09 19:00",Vila Belmiro,10,2020
Fluminense,Corinthians,2.0,1.0,"DOM, 13/09 16:00",Maracanã,10,2020
Grêmio,Fortaleza,1.0,1.0,"DOM, 13/09 16:00",Arena do Grêmio,10,2020
Atlético-MG,Bragantino,2.0,1.0,"DOM, 13/09 18:00",Mineirão,10,2020
Bahia,Atlético-GO,0.0,1.0,"DOM, 13/09 18:00",Pituaçu,10,2020
Ceará,Flamengo,2.0,0.0,"DOM, 13/09 18:00",Castelão (CE),10,2020
Goiás,Internacional,1.0,0.0,"DOM, 13/09 18:00",Serrinha,10,2020
Palmeiras,Sport,2.0,2.0,"DOM, 13/09 19:45",Allianz Parque,10,2020
Botafogo,Vasco,2.0,3.0,"DOM, 13/09 20:30",Nilton Santos (Engenhão),10,2020
